Model version,Overall score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Overall number of predictions,Overall 95% CI low,Overall 95% CI high,Dataset score,Dataset number of predictions,Dataset 95% CI low,Dataset 95% CI high,Market score,Market number of predictions,Market 95% CI low,Market 95% CI high,Better than superforecaster median?,Better than public median?,Notes,Rank,Superforecaster p-value,Public p-value,id
o3-2025-04-16_unknown,62.5,2025-04-16,OpenAI,United States of America,,,O3-2025-04-16 (scratchpad),1561,61.2,63.8,60.5,1472,59.9,61.1,64.6,89,62.1,67.3,,,,3,<0.001,0.80,recQzNVfRtKHwluCr
claude-opus-4-1-20250805_unknown,62.0,2025-08-05,Anthropic,United States of America,,,Claude-Opus-4-1-20250805 (zero shot),10713,61.3,62.7,60.2,9590,59.8,60.5,64.0,1123,62.5,65.5,,,,4,<0.001,0.89,rec9eeZxYTgoo7Hkh
claude-sonnet-4-5-20250929_unknown,61.9,2025-09-29,Anthropic,United States of America,,,Claude-Sonnet-4-5-20250929 (zero shot),10066,61.2,62.6,59.9,8946,59.6,60.3,64.0,1120,62.5,65.4,,,,5,<0.001,0.91,rec6rvuXzXJ0PYHGV
claude-3-7-sonnet-20250219_unknown,61.8,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,Claude-3-7-Sonnet-20250219 (scratchpad),10738,61.2,62.4,60.2,10094,60.0,60.5,63.4,644,62.3,64.5,,,,7,<0.001,0.92,recPDsa2ABcvje85I
o4-mini-2025-04-16_unknown,61.8,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",O4-Mini-2025-04-16 (scratchpad),5486,60.9,62.7,60.5,5106,60.1,60.9,63.1,380,61.3,65.0,,,,7,<0.001,0.91,recefG1iyWtNb8TLM
gpt-4.5-preview-2025-02-27,61.7,2025-02-27,OpenAI,United States of America,3.8e+26,"Analysis of GPT-4.5's training cluster yields a median estimate of 187M H100-hours of training. The utilization assumptions we used for the Grok 3 estimate (maybe worth revisiting) were 20 to 40% under the H100 FP8 spec of 2000 teraflop/s. This leads to an estimate of 2.7e26 to 5.4e26 FLOP, or a geomean of 3.8e26

Alternatively, using a plausible range of 20 to 50% utilization, given the possibility of FP8 training, yields a median estimate of ~2e25 FLOP. See notebook below for details.

https://colab.research.google.com/drive/1QBmVPm64Ti0xucN0EsZTgSz_I7Mj9hAZ#scrollTo=NYH1ABJuLJlw 

This is consistent with OpenAI's statement that GPT-4.5 was a “new order of magnitude in compute” compared to previous models (e.g. GPT-4, which was ~2e25), suggesting around 2e26 FLOP. But they could have meant this somewhat loosely. 

In the ""Pretraining GPT-4.5"" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 ",GPT-4.5-Preview-2025-02-27 (zero shot),3074,60.8,62.7,59.9,2884,59.6,60.3,63.7,190,61.7,65.7,,,,10,<0.001,0.91,recjT324vn2nnfnsc
gpt-4.1-2025-04-14,61.5,2025-04-14,OpenAI,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,GPT-4.1-2025-04-14 (scratchpad),7047,60.6,62.3,60.4,6578,59.9,60.9,62.6,469,61.0,64.3,,,,11,<0.001,0.94,reccvLJeY6UikypFn
claude-haiku-4-5-20251001_unknown,61.4,2025-10-15,Anthropic,United States of America,,,Claude-Haiku-4-5-20251001 (zero shot),10066,60.7,62.1,58.9,8946,58.5,59.3,64.1,1120,62.7,65.5,,,,13,<0.001,0.95,recHzqsoXRNhLqILn
grok-4-20,61.4,2026-02-17,xAI,United States of America,,,Grok-4.20-Beta-0309-Reasoning (zero shot),596,59.3,63.6,59.4,491,58.8,59.9,63.5,105,59.1,68.5,,,,13,<0.01,0.91,rec9suJzugDF1Jc9w
gpt-5-2025-08-07_unknown,61.4,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5-2025-08-07 (zero shot),3321,60.2,62.4,61.2,3028,60.8,61.6,61.6,293,59.4,63.6,,,,13,<0.001,0.95,reccWyhMQkRbeiDqp
