Model version,Score (AVG@5),Release date,Organization,Country,Training compute (FLOP),Training compute notes,Source,Source link (site from table),Notes,id
claude-fable-5_max,0.8190000000000001,2026-06-09,Anthropic,United States of America,,,SimpleBench Leaderboard,,,recLu3km4ejdL7kz3
gemini-3.1-pro-preview,0.796,2026-02-19,Google DeepMind,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recgewVkDueXvkVnM
gpt-5.5-pro_high,0.7690000000000001,2026-04-23,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recjW01mLP3BOi97I
gpt-5.5-pro_unknown,0.769,2026-04-23,OpenAI,United States of America,,,SimpleBench Leaderboard,https://lmcouncil.ai/benchmarks,,recCDyGH0xqsGV5P3
gemini-3.5-flash_unknown,0.767,2026-05-19,Google,United States of America,,,SimpleBench Leaderboard,,,recT00msMRRERjlhG
gemini-3-pro-preview,0.764,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,SimpleBench Leaderboard,https://simple-bench.com/,,recyUT7yjrhcHvcWI
gpt-5.4-pro-2026-03-05_unknown,0.741,2026-03-05,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,reck4FhiJDV2Du9GI
gpt-5.6-sol_prounknown,0.717,2026-07-09,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recF9cVAXsbbbYZfc
qwen3.7-max,0.7040000000000001,2026-05-19,Alibaba,China,,,SimpleBench Leaderboard,,,recoFFvBl4kIhe27W
grok-4.5_unknown,0.7,2026-07-08,xAI,United States of America,,,SimpleBench Leaderboard,,,recvoyWD46brAhdsp
gpt-5.5_unknown,0.69,2026-04-23,OpenAI,United States of America,,,SimpleBench Leaderboard,https://lmcouncil.ai/benchmarks,,recjiKXnBPSb5IusO
claude-opus-4-6,0.676,2026-02-05,Anthropic,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,rec730nvcPbPg0QuS
claude-opus-4-8_unknown,0.648,2026-05-28,Anthropic,United States of America,,,https://lmcouncil.ai/benchmarks,,,rec6BxLe6yXuWZnUJ
gpt-5.6-sol_unknown,0.648,2026-07-09,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recYPLPHkE9223KxD
qwen3.6-max-preview,0.63,2026-04-20,Alibaba,China,,,SimpleBench Leaderboard,,,recdMCAKq8wbA4FAN
claude-opus-4-7_unknown,0.629,2026-04-16,Anthropic,United States of America,,,SimpleBench Leaderboard,https://lmcouncil.ai/benchmarks,,recpuyXgr9SSKBpUy
gemini-2.5-pro-preview-06-05,0.624,2025-06-05,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,https://simple-bench.com/,,recViPEOMOrSB6VKK
claude-opus-4-5-20251101,0.62,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,https://simple-bench.com/,,reclKBQ393HPkOMed
claude-opus-4-5-20251101_unknown,0.62,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,,,recC875h5FNEGSV9i
gpt-5-pro-2025-10-06_high,0.616,2025-10-07,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recbQ9dn731JxU1au
gpt-5-pro-2025-10-06_unknown,0.616,2025-10-07,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recXHUgdw3J3S0dYf
deepseek-v4-pro_unknown,0.612,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,https://lmcouncil.ai/benchmarks,,,recWivz6zSrZMOSf2
gemini-3-flash-preview,0.611,2025-12-17,Google DeepMind,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,rectQAsXBWhS8ne4o
claude-sonnet-5_unknown,0.606,2026-06-30,Anthropic,United States of America,,,SimpleBench Leaderboard,,,recV9xJYjOKNzHcea
grok-4-0709,0.605,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",SimpleBench Leaderboard,https://simple-bench.com/,,reccvzfzhvNO8LxS5
claude-opus-4-1-20250805,0.6,2025-08-05,Anthropic,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recNq0JntySeETz1j
claude-opus-4-1-20250805_unknown,0.6,2025-08-05,Anthropic,United States of America,,,SimpleBench Leaderboard,,,reclvi58OvdQ1U4f2
claude-opus-4-20250514_12K,0.588,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,https://simple-bench.com/,,recCa8wyF9haBALeE
claude-opus-4-20250514_unknown,0.588,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,,,recpufOkYTK86bXJp
kimi-k2.7-code,0.579,2026-06-12,Moonshot,China,,,SimpleBench Leaderboard,,,recMlNcNAtdEKVODv
gpt-5.2-pro-2025-12-11,0.574,2025-12-11,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,"5.2 Pro xHigh
",rec8C0VsHASRk2heI
gpt-5-2025-08-07_high,0.567,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",SimpleBench Leaderboard,https://simple-bench.com/,,recYzgCOm2JdsaO4v
grok-4-1-fast-non-reasoning,0.56,2025-11-19,xAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recEjVoUb45jOJuzf
grok-4-1-fast-reasoning,0.56,2025-11-19,xAI,United States of America,,,SimpleBench Leaderboard,,,recCw9orwjBjIgRjF
glm-5.1,0.551,2026-04-07,Z.ai (Zhipu AI),China,,,SimpleBench Leaderboard,,,recDcxKsGJyZp9pTu
claude-sonnet-4-5-20250929_12K,0.543,2025-09-29,Anthropic,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recWdgpLTxKnAX8LL
claude-sonnet-4-5-20250929_unknown,0.543,2025-09-29,Anthropic,United States of America,,,SimpleBench Leaderboard,,,rec3Wopwym5wv8br0
gpt-5.1-2025-11-13_high,0.532,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",SimpleBench Leaderboard,https://simple-bench.com/,,recoGupfEEaPNxcDe
glm-5,0.532,2026-02-11,Z.ai (Zhipu AI),China,,,SimpleBench Leaderboard,,,recBj1oZpLXvopQw1
o3-2025-04-16_high,0.531,2025-04-16,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recI5aJlmr2NrvE0V
,0.526,,,,,,SimpleBench Leaderboard,https://simple-bench.com/,DeepSeek 3.2 Speciale,rec5dQevCmLXU8K04
DeepSeek-V3.2-Speciale,0.526,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",SimpleBench Leaderboard,,,recADTeXCQKXTUdkk
gemini-2.5-pro-exp-03-25,0.516,2025-03-25,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,https://simple-bench.com/,,reccAb0YstbYurrte
gemini-2.5-pro-preview-03-25,0.516,2025-03-31,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,,,recpb2PdfImmfmr5y
gpt-5.6-terra_unknown,0.489,2026-07-09,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recOLqv7N05mPCScD
zai-org/glm-4.7,0.47700000000000004,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",SimpleBench Leaderboard,,,recmjT6x061caVJFv
glm-4.7,0.477,2025-12-22,Z.ai (Zhipu AI),China,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",SimpleBench Leaderboard,https://simple-bench.com/,,rec2gsPE5AL8Jzaf2
gpt-5.6-luna_unknown,0.468,2026-07-09,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recNyzZlNJm3bgwYP
kimi-k2.5,0.46799999999999997,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",SimpleBench Leaderboard,,,reckCYspTZj7974Qy
claude-3-7-sonnet-20250219_12K,0.464,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,SimpleBench Leaderboard,https://simple-bench.com/,,reckxfqYaBADs0cCf
claude-3-7-sonnet-20250219_unknown,0.46399999999999997,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,SimpleBench Leaderboard,,,recopfv8laJSj5Q6H
gpt-5.2-2025-12-11_high,0.458,2025-12-11,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recqx2zZ9hxht3Y6n
MiniMax-M3,0.458,2026-06-01,MiniMax,China,,,SimpleBench Leaderboard,,,recfi5aOi68UorAf5
gpt-5.2-2025-12-11_unknown,0.45799999999999996,2025-12-11,OpenAI,United States of America,,,SimpleBench Leaderboard,,,recrV1K3KLv9dtzZB
claude-sonnet-4-20250514_12K,0.455,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,https://simple-bench.com/,,recOF5ZoFqZHYxpwD
claude-sonnet-4-20250514_unknown,0.455,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,SimpleBench Leaderboard,,,recAkNOio9nZhF4CL
claude-3-7-sonnet-20250219,0.449,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,SimpleBench Leaderboard,https://simple-bench.com/,,rectGr4imJANQzE34
o1-preview-2024-09-12,0.417,2024-09-12,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,rec5At0uBqsEuLVVH
claude-3-5-sonnet-20241022,0.414,2024-10-22,Anthropic,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,rec55sHDKD0gxxg5R
gemini-2.5-flash,0.412,2025-06-17,Google DeepMind,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,reciIN7KQ8EiMs6s9
DeepSeek-R1-0528,0.408,2025-05-28,DeepSeek,China,4.020010000000001e+24,"Estimates by Ege Erdil in Gradient Updates:
https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1
""A dataset size of 14.8 trillion tokens is reasonable and in line with other models of this scale. Assuming that’s valid, the pretraining of this model would have required 6 * (37 billion) * (14.8 trillion) = 3e24 FLOP. If we assume DeepSeek’s training cluster consists of H800s with the PCIe form factor, then each should be capable of 1.5e15 FP8 per second, and the implied model FLOP utilization (MFU) of DeepSeek v3’s 55 day training run ends up being around 23%.""

6 FLOP/token/param * 14.8T tokens * 37B active params = 3.29e24 FLOP (pretraining)
1.2e23 FLOP (post-training)
6.1e23 FLOP (fine-tuning)

Total compute: 3.29e24 + 1.2e23 + 6.1e23 = 4.02e24",SimpleBench Leaderboard,https://simple-bench.com/,,rec345Y86bjDNWZmV
o1-2024-12-17_high,0.401,2024-12-17,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,rec6j46lH0wCisYVL
DeepSeek-V3.1,0.4,2025-08-21,DeepSeek,China,3.594058e+24,"This was based on V3 which was trained on 14.8T tokens for a total of 14.8T + 840B = 15.64T pretraining tokens. Adding the FLOPs from continued pretraining onto our estimate for V3, which is 3.4e24 FLOPs, we get 3.4e24 + 1.9e23 = 3.59e24",SimpleBench Leaderboard,https://simple-bench.com/,,recAiu3FFJglQ0FdI
o4-mini-2025-04-16_high,0.387,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",SimpleBench Leaderboard,https://simple-bench.com/,,recodGIOZHwIsosFv
o1-2024-12-17_medium,0.367,2024-12-17,OpenAI,United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,,recCGePx18ITu5c6O
grok-3,0.361,2025-04-09,xAI,United States of America,3.5e+26,"Estimate based on a cluster of 80,000 H100s per the xai website and an estimated training time of approximately three months.

Full estimate here: https://docs.google.com/document/d/1MIUFviULJ3YI_XjyzL8cwG0cBRANKNxVEB4DrUcFiNs/edit?usp=sharing",SimpleBench Leaderboard,https://simple-bench.com/,,recoLH9cFM9CmL37j
qwen3.6-flash,0.352,2026-04-27,Alibaba,China,,,SimpleBench Leaderboard,,,recPZCSfWzjzM8LFv
gpt-4.5-preview-2025-02-27,0.345,2025-02-27,OpenAI,United States of America,3.8e+26,"Analysis of GPT-4.5's training cluster yields a median estimate of 187M H100-hours of training. The utilization assumptions we used for the Grok 3 estimate (maybe worth revisiting) were 20 to 40% under the H100 FP8 spec of 2000 teraflop/s. This leads to an estimate of 2.7e26 to 5.4e26 FLOP, or a geomean of 3.8e26

Alternatively, using a plausible range of 20 to 50% utilization, given the possibility of FP8 training, yields a median estimate of ~2e25 FLOP. See notebook below for details.

https://colab.research.google.com/drive/1QBmVPm64Ti0xucN0EsZTgSz_I7Mj9hAZ#scrollTo=NYH1ABJuLJlw 

This is consistent with OpenAI's statement that GPT-4.5 was a “new order of magnitude in compute” compared to previous models (e.g. GPT-4, which was ~2e25), suggesting around 2e26 FLOP. But they could have meant this somewhat loosely. 

In the ""Pretraining GPT-4.5"" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 ",SimpleBench Leaderboard,https://simple-bench.com/,,recNFMYJcGpWOttKB
gemini-exp-1206,0.311,2024-12-06,"Google DeepMind,Google",United States of America,,"""We used Trillium TPUs to train the new Gemini 2.0, Google’s most capable AI model yet"" according to https://cloud.google.com/blog/products/compute/trillium-tpu-is-ga",SimpleBench Leaderboard,https://simple-bench.com/,,rechDCACKgdAKATMz
qwen3-235b-a22b,0.31,2025-04-29,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,SimpleBench Leaderboard,https://simple-bench.com/,,recZifiu78SQWQAFX
DeepSeek-R1,0.309,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",SimpleBench Leaderboard,https://simple-bench.com/,,recVHI1CZTBTCgTmM
gemini-2.0-flash-thinking-exp-01-21,0.307,2025-01-21,"Google DeepMind,Google",United States of America,,,SimpleBench Leaderboard,https://simple-bench.com/,Assuming later of two experimental versions,recuXcLAsfUz4Bx9u
Llama-4-Maverick-17B-128E-Instruct,0.277,2025-04-05,Meta AI,United States of America,2.244000000001e+24,"22T training tokens per model card:

https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md   

Maverick was trained using co-distillation from Llama 4 Behemoth. It isn't 100% clear that all 22T tokens used distillation, but we assume this for the time being.

Estimating training compute from parameters and tokens:
Compute = 6 FLOP per token per parameter * 17B active parameters * 22T tokens = 2.244e24 FLOP
(Implying mean throughput was 262 TFLOPS/GPU, or 13.2% MFU in FP8)


The model card also states that Llama 4 Maverick used 2.38M H100-hours.
The blog post gives a figure of 390 TFLOPS/GPU, but this may have been the utilization rate for Behemoth, or all of the models together. Using this utilization, we have:
Compute = 390 TFLOP/s * 2.38 million hours = 3.342e24 FLOP
(This value is higher than the compute implied by parameters and tokens, and suggests utilization may have been lower for Maverick than for Behemoth.)",SimpleBench Leaderboard,https://simple-bench.com/,,recXdYB88sX3J1uDn
claude-3-5-sonnet-20240620,0.275,2024-06-20,Anthropic,United States of America,2.700000000000001e+25,"Blog post by Dario Amodei includes some info on 3.5 Sonnet compute: https://darioamodei.com/on-deepseek-and-export-controls
""Claude 3.5 Sonnet is a mid-sized model that cost a few $10M's to train (I won't give an exact number). Also, 3.5 Sonnet was not trained in any way that involved a larger or more expensive model (contrary to some rumors).""

Using assumptions about GPU pricing, this lets us estimate compute. https://docs.google.com/spreadsheets/d/1-p-ab6t6dkUM6T7GwnFp85ePTMpZMW7LFY7fW2t8POs/",SimpleBench Leaderboard,https://simple-bench.com/,,recmO9zJFuB6oSrz8
