Model version,Harness,Dominance,Average rank,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Implementation rank,Performance rank,Research rank,Aggregation,Source,Notes
gpt-5.5_unknown,Codex,0.76,3.91,2026-04-23,OpenAI,United States of America,,,GPT-5.5,5.6,3.0,3.83,Mean@5,https://www.frontierswe.com/,
claude-opus-4-7_unknown,Claude Code,0.66,5.12,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7,4.4,5.67,4.67,Mean@5,https://www.frontierswe.com/,
claude-opus-4-6_unknown,Claude Code,0.59,5.94,2026-02-05,Anthropic,United States of America,,,Claude Opus 4.6,5.8,6.22,5.33,Mean@5,https://www.frontierswe.com/,
gpt-5.4-2026-03-05_unknown,Codex,0.56,6.29,2026-03-05,OpenAI,United States of America,,,GPT-5.4,5.5,7.83,3.0,Mean@5,https://www.frontierswe.com/,
gemini-3.1-pro-preview,Gemini CLI,0.41000000000000003,8.03,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro,10.0,5.94,11.0,Mean@5,https://www.frontierswe.com/,
kimi-k2.6,Kimi CLI,0.28,9.59,2026-04-20,Moonshot,China,,,Kimi K2.6,8.0,10.56,9.33,Mean@5,https://www.frontierswe.com/,
kimi-k2.5,Kimi CLI,0.27,9.74,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5,10.7,8.56,11.67,Mean@5,https://www.frontierswe.com/,
claude-fable-5_unknown,Claude Code,0.9,2.21,2026-06-09,Anthropic,United States of America,,,Claude Fable 5,1.5,1.67,5.0,Mean@5,https://www.frontierswe.com/,
claude-opus-4-8_unknown,Claude Code,0.78,3.65,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8,2.6,4.22,3.67,Mean@5,https://www.frontierswe.com/,
glm-5.1,Claude Code,0.32,9.15,2026-04-07,Z.ai (Zhipu AI),China,,,GLM-5.1,9.2,9.28,8.67,Mean@5,https://www.frontierswe.com/,
deepseek-v4-pro_unknown,Claude Code,0.31,9.29,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,DeepSeek V4 Pro,9.2,9.44,9.0,Mean@5,https://www.frontierswe.com/,
qwen3.6-plus,Qwen Code,0.24,10.15,2026-03-31,Alibaba,China,,,Qwen3.6-Plus,11.9,8.78,11.33,Mean@5,https://www.frontierswe.com/,
