Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
gpt-5.6-sol_promax,0.64,0.64,2026-07-09,OpenAI,United States of America,,,0.048241815132442176,,,2026-07-10T01:23:05.000Z,cdASCjQh5E38JhWcm8hHZ7
gpt-5.6-terra_max,0.54,0.54,2026-07-09,OpenAI,United States of America,,,0.05009082659620331,,,2026-07-09T17:07:54.000Z,CQhcUcXfPPJKuyt57AHZw5
gpt-5.6-luna_max,0.4,0.4,2026-07-09,OpenAI,United States of America,,,0.0492365963917331,,,2026-07-09T13:36:49.000Z,BJiQ8aRjMyCGPTBGYfBhyj
gpt-5.6-sol_max,0.55,0.55,2026-07-09,OpenAI,United States of America,,,0.05,,,2026-07-09T02:07:13.000Z,CVuujQbCY38ZStXnBcFex9
grok-4.5_high,0.36,0.36,2026-07-08,xAI,United States of America,,,0.048241815132442176,,,2026-07-08T23:54:22.000Z,6e3LDVuZwoZC4Sg7ushoVP
claude-sonnet-5_xhigh,0.35,0.35,2026-06-30,Anthropic,United States of America,,,0.047937248544110224,,,2026-06-30T20:26:11.000Z,DAyGUk5kLRdwNkSPZgqmos
glm-5.2_max,0.21,0.21,2026-06-16,Z.ai (Zhipu AI),China,,,0.040936018074033236,,,2026-06-17T23:43:15.000Z,G8hwpomZQaMniWH5XUzTRe
grok-4.3_high,0.25,0.25,2026-04-17,xAI,United States of America,,,0.04351941398892446,,,2026-06-17T16:27:46.000Z,R9XpD2PaYpPiokjjSWnMYT
deepseek-v4-pro_max,0.2,0.2,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,0.04020151261036849,,,2026-06-16T19:13:40.000Z,8UqmhNg7pKbebcsYAZYpsh
qwen3.7-max,0.22,0.22,2026-05-19,Alibaba,China,,,0.04163331998932266,,,2026-06-13T00:44:22.000Z,XUEFG5FjitfdoNSMjfLDyG
kimi-k2.7-code,0.21,0.21,2026-06-12,Moonshot,China,,,0.040936018074033236,,,2026-06-12T22:44:08.000Z,naGqzsvCW3QRtA9umm7c9j
claude-fable-5_max,0.41,0.41,2026-06-09,Anthropic,United States of America,,,0.04943110704237103,,,2026-06-09T20:20:14.000Z,bAR85KQmEATQP8j764jpBA
claude-opus-4-8_max,0.34,0.34,2026-05-28,Anthropic,United States of America,,,0.04760952285695234,,,2026-05-29T17:00:51.000Z,bwak5Cq3LBthfoboicGZUo
gemini-3.5-flash_high,0.5,0.5,2026-05-19,Google,United States of America,,,0.050251890762960605,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FimPXZhfTfq9Q9G2kq3stdg.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/imPXZhfTfq9Q9G2kq3stdg.eval,2026-05-28T10:10:09.000Z,imPXZhfTfq9Q9G2kq3stdg
qwen3.6-max-preview,0.17,0.17,2026-04-20,Alibaba,China,,,0.03775251680686369,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdpHHf7wcvoFUgfg8bk4Keg.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/dpHHf7wcvoFUgfg8bk4Keg.eval,2026-05-15T22:34:04.000Z,dpHHf7wcvoFUgfg8bk4Keg
