Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
deepseek-v4-pro-0813_max,0.43,0.43,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,0.0497569851956243,,,2026-08-19T18:14:49.000Z,c2KVkMCWnpo6BbnMWgdaDH
inkling-small_xhigh,0.06,0.06,2026-07-15,Thinking Machines,United States of America,,,0.023868325657594204,,,2026-08-15T01:02:40.000Z,nPFA9ufjfVqg3YNmDRqWeC
gemini-3.7-flash_high,0.37,0.37,2026-08-13,Google DeepMind,United States of America,,,0.048523658709390974,,,2026-08-14T21:35:50.000Z,ZavSMMq9jk5s9WSbARZr6X
grok-4.6_xhigh,0.34,0.34,2026-08-12,xAI,United States of America,,,0.04760952285695234,,,2026-08-14T20:27:46.000Z,9cXtChGrowgGDwa9AcAecB
gpt-5.2-2025-12-11_high,0.23,0.23,2025-12-11,OpenAI,United States of America,,,0.04229525846816508,,,2026-08-06T14:07:21.000Z,AsFSc8AQu4F46Tzp4xVwYu
claude-sonnet-4-6,0.14,0.14,2026-02-17,Anthropic,United States of America,,,0.0348735088019777,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/VjfWxdhdNerrh4huSHT8PT.eval,2026-08-06T00:18:43.000Z,VjfWxdhdNerrh4huSHT8PT
claude-sonnet-4-6_low,0.16,0.16,2026-02-17,Anthropic,United States of America,,,0.03684529491774706,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/YdyvoMQ4mA5V8Ymg6Tksxu.eval,2026-08-06T00:18:14.000Z,YdyvoMQ4mA5V8Ymg6Tksxu
claude-opus-5,0.37,0.37,2026-07-24,Anthropic,United States of America,,,0.048523658709390974,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/bWnggCv6to2QKSjngrtuos.eval,2026-08-06T00:14:11.000Z,bWnggCv6to2QKSjngrtuos
claude-opus-4-7,0.13,0.13,2026-04-16,Anthropic,United States of America,,,0.033799766898963114,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/LsnPrukDADRTP8fsn8zD9S.eval,2026-08-06T00:13:47.000Z,LsnPrukDADRTP8fsn8zD9S
claude-opus-4-6,0.15,0.15,2026-02-05,Anthropic,United States of America,,,0.03588702812826367,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/BbM4xbJcS5sjrzZABGg8K7.eval,2026-08-06T00:13:31.000Z,BbM4xbJcS5sjrzZABGg8K7
