Model version,Harness,Dominance,Average rank,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Implementation rank,Performance rank,Research rank,Aggregation,Source,Notes
gpt-5.5_unknown,Codex,0.65,6.68,2026-04-23,OpenAI,United States of America,,,GPT-5.5,8.8,5.11,7.83,Mean@5,https://www.frontierswe.com/,
claude-opus-4-7_unknown,Claude Code,0.56,8.0,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7,7.2,8.33,8.33,Mean@5,https://www.frontierswe.com/,
claude-opus-4-6_unknown,Claude Code,0.49,9.18,2026-02-05,Anthropic,United States of America,,,Claude Opus 4.6,9.2,9.11,9.33,Mean@5,https://www.frontierswe.com/,
gpt-5.4-2026-03-05_unknown,Codex,0.46,9.65,2026-03-05,OpenAI,United States of America,,,GPT-5.4,8.7,11.06,7.0,Mean@5,https://www.frontierswe.com/,
gemini-3.1-pro-preview,Gemini CLI,0.34,11.5,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro,13.8,9.06,15.0,Mean@5,https://www.frontierswe.com/,
kimi-k2.6,Kimi CLI,0.22,13.44,2026-04-20,Moonshot,China,,,Kimi K2.6,11.7,14.44,13.33,Mean@5,https://www.frontierswe.com/,
kimi-k2.5,Kimi CLI,0.23,13.26,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5,14.5,11.78,15.67,Mean@5,https://www.frontierswe.com/,
claude-fable-5_unknown,Claude Code,0.88,2.88,2026-06-09,Anthropic,United States of America,,,Claude Fable 5,2.0,2.0,7.0,Mean@5,https://www.frontierswe.com/,
claude-opus-4-8_unknown,Claude Code,0.67,6.35,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8,5.4,6.56,7.33,Mean@5,https://www.frontierswe.com/,
glm-5.1,Claude Code,0.26,12.88,2026-04-07,Z.ai (Zhipu AI),China,,,GLM-5.1,12.9,12.94,12.67,Mean@5,https://www.frontierswe.com/,
deepseek-v4-pro_unknown,Claude Code,0.25,13.06,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,DeepSeek V4 Pro,13.0,13.11,13.0,Mean@5,https://www.frontierswe.com/,
qwen3.6-plus,Qwen Code,0.2,13.82,2026-03-31,Alibaba,China,,,Qwen3.6-Plus,15.8,12.22,15.33,Mean@5,https://www.frontierswe.com/,
grok-4.5_unknown,Grok CLI,0.72,5.47,2026-07-08,xAI,United States of America,,,Grok 4.5,6.2,5.67,3.67,Mean@5,https://www.frontierswe.com/,
glm-5.2_unknown,Claude Code,0.67,6.21,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2,6.3,7.0,3.67,Mean@5,https://www.frontierswe.com/,
Composer 2.5,Cursor CLI,0.34,11.59,2026-05-18,Cursor,United States of America,3.87e+25,"Said by Cursor that 85% of the total compute was performed by their team (from figure following ""Composer 2.5 is built on the same open-source checkpoint as Composer 2, Moonshot's Kimi K2.5."" here https://cursor.com/blog/composer-2-5) - 5.8e24 / 0.15 = 3.8666666667E25 FLOP",Composer 2.5,10.2,13.39,8.5,Mean@5,https://www.frontierswe.com/,
grok-4.6_unknown,Grok CLI,0.78,4.53,2026-08-12,xAI,United States of America,,,Grok 4.6,3.3,5.39,4.0,Mean@5,https://www.frontierswe.com/,
glm-5.3_unknown,Claude Code,0.78,4.5,2026-08-14,Z.ai (Zhipu AI),China,,,GLM-5.3,4.0,5.83,1.33,Mean@5,https://www.frontierswe.com/,
