id,category,month,verdict,patterns,about_llm,has_ack_section,in_ack_section,negation_nearby,grammarly,llm_term_anywhere,title
2301.12752,math-ph,2023-01,none,,False,False,False,False,False,False,A Stochastic Differential Equation For Laser Propagation In Medias With Random Gaussian Absorption Coefficients: A Modified Beer's Law Solution Via A Van Kampen Cluster Expansion
2301.04068,math-ph,2023-01,none,,False,True,False,False,False,False,Blobbed topological recursion from extended loop equations
2301.06069,math-ph,2023-01,none,,False,True,False,False,False,False,Open Quadratic Fermion Systems and Algebras of Affine Transformations
2301.02473,math-ph,2023-01,none,,False,False,False,False,False,False,Cubic first integrals of autonomous dynamical systems in $E^2$ by an algorithmic approach
2301.03849,math-ph,2023-01,none,,False,True,False,False,False,False,A universal framework for entanglement detection under group symmetry
2301.10694,math-ph,2023-01,none,,False,True,False,False,False,False,Self-adjointness of a class of multi-spin-boson models with ultraviolet divergences
2302.00063,math-ph,2023-01,none,,False,True,False,False,False,False,Quantum energy inequalities in integrable models with several particle species and bound states
2301.01255,math-ph,2023-01,none,,False,True,False,False,False,False,More insights into symmetries in multisymplectic field theories
2301.09075,math-ph,2023-01,none,,False,False,False,False,False,False,Koenigs Theorem and Superintegrable Liouville Metrics
2301.09592,math-ph,2023-01,none,,False,True,False,False,False,False,Decay of Entropy and Information for multidimensional Kac models
2301.00846,math-ph,2023-01,none,,False,False,False,False,False,False,Higher order first integrals of autonomous dynamical systems in terms of geometric symmetries
2301.05022,math-ph,2023-01,none,,False,True,False,False,False,False,Progress on the study of the Ginibre ensembles II: GinOE and GinSE
2301.12728,math-ph,2023-01,none,,False,True,False,False,False,False,Convergence of Quantum Lindstedt Series and Semiclassical Renormalization
2301.12543,math-ph,2023-01,none,,False,False,False,False,False,False,Covariant Lyapunov vectors as global solutions of a partial differential equation on the phase space
2301.11820,math-ph,2023-01,none,,False,True,False,False,False,False,Hydrodynamic and symbolic models of computation with advice
2301.06664,math-ph,2023-01,none,,False,True,False,False,False,False,Reflection Structures and Spin Statistics in Low Dimensions
2301.05488,math-ph,2023-01,none,,False,True,False,False,False,False,From Kraus Operators to the Stinespring Form of Quantum Maps: An Alternative Construction for Infinite Dimensions
2301.10713,math-ph,2023-01,none,,False,True,False,False,False,False,Non-homogeneous Hamiltonian structures for quasilinear systems
2301.13070,math-ph,2023-01,none,,False,False,False,False,False,False,The density-density response function in time-dependent density functional theory: mathematical foundations and pole shifting
2301.07086,math-ph,2023-01,none,,False,False,False,False,False,False,A continuum limit for dense spatial networks
2301.08450,math-ph,2023-01,none,,False,True,False,False,False,False,Continuum Kinematics with Incompatible-Compatible Decomposition
2301.06003,math-ph,2023-01,none,,False,False,False,False,False,False,Knots from the random matrix theory with a replica
2301.08005,math-ph,2023-01,none,,False,True,False,False,False,False,Almost optimal upper bound for the ground state energy of a dilute Fermi gas via cluster expansion
2301.04304,math-ph,2023-01,none,,False,True,False,False,False,False,3D Bosons and $W_{1+\infty}$ algebra
2301.00839,math-ph,2023-01,none,,False,False,False,False,False,False,Integrable and superintegrable 3d Newtonian potentials using quadratic first integrals: A review
2301.00780,math-ph,2023-01,none,,False,True,False,False,False,False,A Linear Stochastic Model of Turbulent Cascades and Fractional Fields
2301.13107,math-ph,2023-01,none,,False,True,False,False,False,False,"One-dimensional Discrete Dirac Operators in a Decaying Random Potential II: Clock, Schrödinger and Sine statistics"
2301.08574,math-ph,2023-01,none,,False,True,False,False,False,False,On Poincaré-Birkhoff-Witt basis of quantum general linear superalgebra
2301.05807,math-ph,2023-01,none,,False,True,False,False,False,False,Clarkson-McLeod solutions of the fourth Painlevé equation and the parabolic cylinder-kernel determinant
2301.01168,math-ph,2023-01,none,,False,True,False,False,False,False,"Special Vinberg cones, invariant admissible cubics and special real manifolds"
2301.08728,math-ph,2023-01,none,,False,False,False,False,False,False,Spectral Asymptotics of Elliptic Operators on Manifolds
2301.08396,math-ph,2023-01,none,,False,True,False,False,False,False,Generalized Lie Symmetries and Almost Regular Lagrangians: A Link Between Symmetry and Dynamics
2301.05621,math-ph,2023-01,none,,False,True,False,False,False,False,Universality in low-dimensional BCS theory
2301.07434,math-ph,2023-01,none,,False,True,False,False,False,False,Integral representation of superoscillations via complex Borel measures and their convergence
2301.06900,math-ph,2023-01,none,,False,False,False,False,False,False,A generalized index theory for non-Hamiltonian system
2301.07337,math-ph,2023-01,none,,False,True,False,False,False,False,Kittel's molecular zipper model on Cayley trees
2301.05360,math-ph,2023-01,none,,False,False,False,False,False,False,"High-Order SUSY-QM, the Quantum XP Model and zeroes of the Riemann Zeta function"
2301.03750,math-ph,2023-01,none,,False,False,False,False,False,False,The singularities of Selberg- and Dotsenko-Fateev-like integrals
2301.05424,math-ph,2023-01,none,,False,False,False,False,False,False,A Causal Formulation of Dissipative Relativistic Fluid Dynamics with or without Diffusion
