Model version,Mean score,Pass rate,Provider,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Total tokens,Total cost (USD),Source,Notes
claude-fable-5_high,0.9500000000000001,0.875,claude,2026-06-09,Anthropic,United States of America,,,claude-fable-5 (high),933342,19.43522,https://yhenon.github.io/surface-evolver-llm-eval/,
gpt-5.6-sol_xhigh,0.93125,0.875,openai,2026-07-09,OpenAI,United States of America,,,gpt-5.6-sol (xhigh),1415604,9.40775925,https://yhenon.github.io/surface-evolver-llm-eval/,
gpt-5.5_high,0.88125,0.75,openai,2026-04-23,OpenAI,United States of America,,,gpt-5.5 (high),2033603,13.825813,https://yhenon.github.io/surface-evolver-llm-eval/,
kimi-k3_max,0.93,0.875,kimi,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",kimi-k3,3700000,12.14,https://yhenon.github.io/surface-evolver-llm-eval/,
claude-opus-4-8_high,0.875,0.6875,claude,2026-05-28,Anthropic,United States of America,,,claude-opus-4.8 (high),2699281,21.961645,https://yhenon.github.io/surface-evolver-llm-eval/,
gpt-5.6-terra_xhigh,0.8375,0.6875,openai,2026-07-09,OpenAI,United States of America,,,gpt-5.6-terra (xhigh),2127318,7.58990275,https://yhenon.github.io/surface-evolver-llm-eval/,
gpt-5.5_medium,0.8125,0.625,openai,2026-04-23,OpenAI,United States of America,,,gpt-5.5 (medium),1637911,9.52131,https://yhenon.github.io/surface-evolver-llm-eval/,
grok-4.5_high,0.74375,0.5,grok,2026-07-08,xAI,United States of America,,,grok-4.5 (high),3055609,4.610306,https://yhenon.github.io/surface-evolver-llm-eval/,
kimi-k2.7-code,0.4875,0.375,kimi,2026-06-12,Moonshot,China,,,kimi-k2.7-code,5324288,4.0321230474,https://yhenon.github.io/surface-evolver-llm-eval/,
glm-5.2_high,0.55625,0.3125,z-ai,2026-06-16,Z.ai (Zhipu AI),China,,,glm-5.2 (high),2543170,4.646197132,https://yhenon.github.io/surface-evolver-llm-eval/,
claude-opus-4-8_none,0.68125,0.25,claude,2026-05-28,Anthropic,United States of America,,,claude-opus-4.8 (none),1455083,9.727075000000001,https://yhenon.github.io/surface-evolver-llm-eval/,
deepseek-v4-pro_high,0.4,0.25,deepseek,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,deepseek-v4-pro (high),4495515,3.857008705,https://yhenon.github.io/surface-evolver-llm-eval/,
gpt-5.6-luna_medium,0.61875,0.1875,openai,2026-07-09,OpenAI,United States of America,,,gpt-5.6-luna (medium),1243407,1.00794085,https://yhenon.github.io/surface-evolver-llm-eval/,
MiniMax-M3,0.5499999999999999,0.1875,minimax,2026-06-01,MiniMax,China,,,minimax-m3,5547086,2.07806376,https://yhenon.github.io/surface-evolver-llm-eval/,
qwen3.6-35b-a3b,0.44375000000000003,0.125,qwen,2026-04-14,Alibaba,China,,,qwen3.6-35b-a3b,4037755,2.1925831197,https://yhenon.github.io/surface-evolver-llm-eval/,
gemma-4-31b-it,0.30624999999999997,0.0625,gemma,2026-04-02,Google DeepMind,United States of America,,,gemma-4-31b-it (none),1419535,0.21557616000000002,https://yhenon.github.io/surface-evolver-llm-eval/,
gpt-oss-120b,0.25,0.0625,openai,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",gpt-oss-120b,1475754,0.08923236999999999,https://yhenon.github.io/surface-evolver-llm-eval/,
kimi-k3_unknown,0.9500000000000001,0.875,kimi,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",kimi-k3,3710719,12.1421778,https://yhenon.github.io/surface-evolver-llm-eval/,
gemini-3.5-flash_medium,0.58125,0.375,gemini,2026-05-19,Google,United States of America,,,gemini-3.5-flash (medium),3108560,6.6382038,https://yhenon.github.io/surface-evolver-llm-eval/,
claude-sonnet-5_medium,0.6,0.1875,claude,2026-06-30,Anthropic,United States of America,,,claude-sonnet-5 (medium),3783644,11.938944000000001,https://yhenon.github.io/surface-evolver-llm-eval/,
mistral-medium-2604,0.26875,0.0625,mistral,2026-04-28,Mistral AI,France,,"Commentary from Mistral researcher - https://x.com/mertunsal2020/status/2049551864556143094?s=20 - says ""nowhere close to those flops"" in response to someone suggesting 2.3e25FLOPS was used",mistral-medium-3-5 (high),2760172,6.348204,https://yhenon.github.io/surface-evolver-llm-eval/,
laguna-m.1,0.15625,0.0625,poolside,2026-04-28,Poolside,United States of America,,,laguna-m.1,3092659,0.4947199,https://yhenon.github.io/surface-evolver-llm-eval/,
trinity-large-thinking,0.15625,0.0625,arcee,2026-04-01,Arcee AI,United States of America,,,trinity-large-thinking,2601726,1.24719325,https://yhenon.github.io/surface-evolver-llm-eval/,
muse-spark-1.1_high,0.525,0.375,meta,2026-07-09,Meta AI,United States of America,,,muse-spark-1.1 (high),3800825,2.49833875,https://yhenon.github.io/surface-evolver-llm-eval/,
qwen3.8-27b_xhigh,0.45,0.1875,qwen,2026-08-14,Alibaba,China,,,qwen3.8-27b (xhigh),4703787,9.0487613,https://yhenon.github.io/surface-evolver-llm-eval/,
