Model version,Mean score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,ID,Notes,Source,Source link
o3-2025-04-16_medium,8.39,2025-04-16,OpenAI,United States of America,,,recaq2pSAD6GGfn5w,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
qwen3-235b-a22b,8.3,2025-04-29,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,recSkbMHfjidM77vp,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
DeepSeek-R1,8.3,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",reccBYfi4bRrue4HQ,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gpt-4o-2024-11-20,8.18,2024-11-20,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,recoz4ungN3PTpQl9,"Assuming latest version of gpt-4o as of March 2025, which was released in November 2024. ",lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-3-7-sonnet-20250219_16K,8.11,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,recsJfvmkvg5HQXtd,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
QwQ-32B (16K thinking),8.07,2025-03-05,Alibaba,China,3.51e+24,"Assuming the same dataset size as for Qwen2.5 training (18T tokens):

6ND = 6 * 32500000000 parameters * 18 * 10^12 tokens =  3.51 × 10^24

'Speculative' confidence",reciVOxUS1MVywwy0,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemini-2.5-pro-exp-03-25,8.05,2025-03-25,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,rectFWVD6OaR7zTAc,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-3-5-sonnet-20241022,8.03,2024-10-22,Anthropic,United States of America,,,recP7L8TeBmoCAl0r,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemma-3-27b-it,7.99,2025-03-12,Google DeepMind,United States of America,2.268e+24,6ND =  6 * 27B parameters * 14T training tokens = 2.268 × 10^24 FLOP,recJHtOReC3qBWu5u,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-3-7-sonnet-20250219,7.94,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,reci1bJfZoH6BKt6v,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
DeepSeek-V3-0324,7.7,2025-03-24,DeepSeek,China,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",recqkT3tIKjY1r3fM,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemini-2.5-flash-preview-04-17 (24K thinking),7.65,2025-04-17,Google DeepMind,United States of America,,,rec8l7OvydxWXqfLG,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
grok-3-beta,7.64,2025-04-09,xAI,United States of America,3.5e+26,"Estimate based on a cluster of 80,000 H100s per the xai website and an estimated training time of approximately three months.

Full estimate here: https://docs.google.com/document/d/1MIUFviULJ3YI_XjyzL8cwG0cBRANKNxVEB4DrUcFiNs/edit?usp=sharing",rec2jPjbcJQabiidK,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gpt-4.5-preview-2025-02-27,7.56,2025-02-27,OpenAI,United States of America,3.8e+26,"Analysis of GPT-4.5's training cluster yields a median estimate of 187M H100-hours of training. The utilization assumptions we used for the Grok 3 estimate (maybe worth revisiting) were 20 to 40% under the H100 FP8 spec of 2000 teraflop/s. This leads to an estimate of 2.7e26 to 5.4e26 FLOP, or a geomean of 3.8e26

Alternatively, using a plausible range of 20 to 50% utilization, given the possibility of FP8 training, yields a median estimate of ~2e25 FLOP. See notebook below for details.

https://colab.research.google.com/drive/1QBmVPm64Ti0xucN0EsZTgSz_I7Mj9hAZ#scrollTo=NYH1ABJuLJlw 

This is consistent with OpenAI's statement that GPT-4.5 was a “new order of magnitude in compute” compared to previous models (e.g. GPT-4, which was ~2e25), suggesting around 2e26 FLOP. But they could have meant this somewhat loosely. 

In the ""Pretraining GPT-4.5"" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 ",rec1SxklVeGLx1G1l,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
Qwen3-30B-A3B,7.53,2025-04-29,Alibaba,China,6.48e+23,6 FLOP / parameter / token * 3*10^9 active parameters * 36000000000000 tokens = 6.48e+23 FLOP,recJzfhOd5CQMu9pU,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
o4-mini-2025-04-16_medium,7.5,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",recl393uYsVbqAdgp,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemini-2.0-flash-thinking-exp-01-21,7.38,2025-01-21,"Google DeepMind,Google",United States of America,,,rec7Ad0FQVVUZGJ0o,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
claude-3-5-haiku-20241022,7.35,2024-10-22,Anthropic,United States of America,,,recfHZVxMFIfkbYxf,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
grok-3-mini-beta_low,7.35,2025-04-09,xAI,United States of America,,,recS4R7WEzc0s9V7x,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
qwen2.5-max,7.29,2025-01-28,Alibaba,China,,,reckFMjYS4y6kWND5,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
gemini-2.0-flash-exp,7.15,2024-12-11,"Google DeepMind,Google",United States of America,,"""We used Trillium TPUs to train the new Gemini 2.0, Google’s most capable AI model yet"" according to https://cloud.google.com/blog/products/compute/trillium-tpu-is-ga",recSGTGdSd09Lb6L8,,lechmazur/writing Github repository,https://github.com/lechmazur/Writing
