Model version,Pass@1 score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Pass@1 Standard Error,Mean score,Mean Standard Error,Notes,id
gemini-3.5-flash_unknown,0.49600000000000005,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash,3.9,0.6609999999999999,3.3,,rec6b7ovWfYJZ6HRN
gemini-3.5-flash_high,0.49600000000000005,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash (High),3.9,0.6609999999999999,3.3,,recplDsVCVj3slu4q
claude-fable-5,0.45,2026-06-09,Anthropic,United States of America,,,Fable 5,4.1,0.609,3.6,,reckaD0wz9XOvArFA
claude-opus-4-8_max,0.425,2026-05-28,Anthropic,United States of America,,,Opus 4.8 (Max),4.0,0.594,3.5,,reckFRpJRQsQ8Z4Sm
gpt-5.5_xhigh,0.384,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xHigh),3.9,0.539,3.6,,recCSkQ98mcAPU3I0
gpt-5.4-2026-03-05_xhigh,0.359,2026-03-05,OpenAI,United States of America,,,GPT 5.4 (xHigh),3.8,0.525,3.4,,recX3NOyGyXzL4reA
glm-5.2_unknown,0.35600000000000004,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2 (Thinking),,,,,recvAMFmiTTh0Hpvh
gpt-5.2-2025-12-11_xhigh,0.34299999999999997,2025-12-11,OpenAI,United States of America,,,GPT 5.2 (xHigh),3.8,0.48200000000000004,3.5,,recfQMDiYNKOHlzqx
claude-opus-4-7_max,0.339,2026-04-16,Anthropic,United States of America,,,Opus 4.7 (Max),3.8,0.506,3.5,,recDYoVbtdEHFX5Vv
gemini-3.1-pro-preview,0.335,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro (High),3.6,0.48100000000000004,3.4,,recPuGr6uc4AJrsxK
claude-opus-4-6_max,0.317,2026-02-05,Anthropic,United States of America,,,Opus 4.6 (Max),3.6,0.47700000000000004,3.4,,recfKa2RdTGFZh3gQ
gpt-5.3-codex_high,0.317,2026-02-05,OpenAI,United States of America,,,GPT 5.3 Codex (High),3.6,0.467,3.3,,recyZF0bntJN4r8Pz
claude-opus-4-6_unknown,0.298,2026-02-05,Anthropic,United States of America,,,Opus 4.6 (High),3.6,0.456,3.4,,reczzlxSFDj7WbeiO
