Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
deepseek-v4-pro-0813_max,0.5546639919759278,0.5546639919759278,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,0.015748138411729676,,,2026-08-18T21:03:23.000Z,TZKjauiw7YFfQi6U9vE3SM
gemini-3.7-flash_high,0.712,0.712,2026-08-13,Google DeepMind,United States of America,,,0.014326941797231577,,,2026-08-14T18:29:12.000Z,DFECmJvr8aGLrDvLjjHVMe
inkling-small_xhigh,0.195,0.195,2026-07-15,Thinking Machines,United States of America,,,0.012535235623319256,,,2026-08-14T14:19:47.000Z,7Lfq7tD3pv8AfwtZSq7ZqH
grok-4.6_xhigh,0.544,0.544,2026-08-12,xAI,United States of America,,,0.01575792855397918,,,2026-08-14T13:47:42.000Z,aVWig6L3jVbeqFRtbVCTvr
grok-4.6_high,0.53,0.53,2026-08-12,xAI,United States of America,,,0.015790799515836722,,,2026-08-12T19:39:52.000Z,W8FkAsFgS4gUrDm8s7N85a
Inkling_xhigh,0.402,0.402,2026-07-15,Thinking Machines,United States of America,1.845e+24,6ND = 41e9 active parameters * 45e12 tokens = 1.845e+24 FLOP,0.015512467135714957,,,2026-08-05T18:55:39.000Z,KcxEsTj7HcDz6nmnvfDKC4
qwen3.8-max_xhigh,0.46292585170340683,0.46292585170340683,2026-08-02,Alibaba,China,,,0.015791568269596348,,,2026-08-04T16:28:46.000Z,MfwKy7xMJRPpoNqCXXr4P9
gpt-5.5-instant,0.38,0.38,2026-05-05,OpenAI,United States of America,,,0.015356947477797658,,,2026-08-02T02:46:37.000Z,MQMn7thEgRk3YdpfDo6akj
deepseek-v4-flash-0731_max,0.3466933867735471,0.3466933867735471,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",0.015072445660728776,,,2026-08-02T00:22:31.000Z,8qkyZ9773JbXfjx93nEGDh
gemini-3.6-flash_high,0.687,0.687,2026-07-21,Google DeepMind,United States of America,,,0.014671272822977775,,,2026-08-02T00:21:27.000Z,QnsDAPrwAZhNKjWvvSyCtG
claude-opus-5_max,0.567,0.567,2026-07-24,Anthropic,United States of America,,,0.015676630912181255,,,2026-07-24T18:40:39.000Z,X9SSCxjj3JJLmjXRCp8Q2g
kimi-k3_max,0.427,0.427,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",0.01564978964446219,,,2026-07-16T21:59:40.000Z,6HkPoTJfcuZTquCMMzjcNd
grok-4.20-0309-reasoning,0.351,0.351,2026-02-17,xAI,United States of America,,,0.015100563798316506,,,2026-07-13T16:45:48.000Z,d3DMQPwKSLC2V97wRRpnVe
o4-mini-2025-04-16_low,0.219,0.219,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",0.013084731950262116,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FcJQKbVwpGbuUuYaAKoSYUs.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/cJQKbVwpGbuUuYaAKoSYUs.eval,2026-07-11T08:04:09.000Z,cJQKbVwpGbuUuYaAKoSYUs
gpt-5.6-terra_max,0.431,0.431,2026-07-09,OpenAI,United States of America,,,0.01566794448817344,,,2026-07-09T17:07:54.000Z,5RSJ6mJmU7pAHsc6iHHETk
gpt-5.6-luna_max,0.417,0.417,2026-07-09,OpenAI,United States of America,,,0.015599819048769581,,,2026-07-09T13:36:49.000Z,dw5Mewe634eccfvgE4Cvcs
gpt-5.6-sol_max,0.716,0.716,2026-07-09,OpenAI,United States of America,,,0.01426700906103124,,,2026-07-09T02:07:13.000Z,cKbcff2t3owWrpj7uuo3Gi
grok-4.5_high,0.535,0.535,2026-07-08,xAI,United States of America,,,0.015780495050030086,,,2026-07-08T23:54:22.000Z,KqdQWqPR3nAJX9G4sm8mhf
claude-sonnet-5_xhigh,0.25,0.25,2026-06-30,Anthropic,United States of America,,,0.013699915608779773,,,2026-07-01T00:07:51.000Z,VZmWnZsnUtrzr9PrqNcDAf
claude-sonnet-5_max,0.223,0.223,2026-06-30,Anthropic,United States of America,,,0.013169830843425608,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FD3QeLF7PU47uEMgCjK24pq.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/D3QeLF7PU47uEMgCjK24pq.eval,2026-06-30T23:10:40.000Z,D3QeLF7PU47uEMgCjK24pq
