Model name,date,ECI Score,Organization,Model accessibility,open
LLaMA-7B,2023-02-24,95.56,Meta AI,Open weights (non-commercial),True
LLaMA-33B,2023-02-24,106.54,Meta AI,Open weights (non-commercial),True
LLaMA-65B,2023-02-24,109.37,Meta AI,Open weights (non-commercial),True
LLaMA-13B,2023-02-24,99.54,Meta AI,Open weights (non-commercial),True
GPT-4 (Mar 2023),2023-03-14,125.75,OpenAI,API access,False
Falcon-40B,2023-03-15,103.51,Technology Innovation Institute,Open weights (unrestricted),True
Cerebras-GPT-13B,2023-03-20,81.79,Cerebras Systems,Open weights (unrestricted),True
Dolly 2.0-12b,2023-04-11,88.36,Databricks,Open weights (unrestricted),True
Falcon-7B,2023-04-24,93.92,Technology Innovation Institute,Open weights (unrestricted),True
MPT-7B,2023-05-05,93.4,MosaicML,Open weights (unrestricted),True
Baichuan1-7B,2023-06-01,89.15,Baichuan,Open weights (non-commercial),True
GPT-4 (Jun 2023),2023-06-13,121.55,OpenAI,API access,False
MPT-30B,2023-06-22,99.62,MosaicML,Open weights (unrestricted),True
XGen-7B,2023-06-27,92.19,Salesforce,Open weights (unrestricted),True
Claude 2,2023-07-11,119.24,Anthropic,API access,False
Llama 2-13B,2023-07-18,105.27,Meta AI,Open weights (restricted use),True
Llama 2-70B,2023-07-18,113.25,Meta AI,Open weights (restricted use),True
Llama 2-7B,2023-07-18,97.98,Meta AI,Open weights (restricted use),True
Stable Beluga 2,2023-07-20,116.49,Stability AI,Open weights (non-commercial),True
Claude Instant,2023-08-09,120.79,Anthropic,API access,False
Falcon-180B,2023-09-06,111.4,Technology Innovation Institute,Open weights (restricted use),True
Baichuan2-13B,2023-09-06,102.22,Baichuan,Open weights (restricted use),True
Phi-1.5,2023-09-11,90.29,Microsoft,Open weights (unrestricted),True
Baichuan 2-7B,2023-09-20,95.17,Baichuan,Open weights (restricted use),True
Mistral 7B,2023-09-27,111.46,Mistral AI,Open weights (unrestricted),True
Qwen-7B,2023-09-28,105.93,Alibaba,Open weights (restricted use),True
Qwen-14B,2023-09-28,112.3,Alibaba,Open weights (restricted use),True
DeepSeek Coder 6.7B,2023-11-02,88.31,"DeepSeek,Peking University",Open weights (restricted use),True
Yi 6B,2023-11-02,103.83,01.AI,Open weights (restricted use),True
DeepSeek Coder 1.3B,2023-11-02,62.28,"DeepSeek,Peking University",Open weights (restricted use),True
DeepSeek Coder 33B,2023-11-02,95.16,"DeepSeek,Peking University",Open weights (restricted use),True
GPT-3.5 Turbo,2023-11-06,117.92,OpenAI,API access,False
Claude 2.1,2023-11-21,118.03,Anthropic,API access,False
Yi-34B,2023-11-22,116.75,01.AI,Open weights (restricted use),True
Mixtral 8x7B,2023-12-11,117.75,Mistral AI,Open weights (unrestricted),True
Phi-2,2023-12-12,107.06,Microsoft,Open weights (unrestricted),True
Gemini 1.0 Pro,2023-12-13,116.63,Google DeepMind,API access,False
GPT-4 Turbo (Nov 2023),2024-01-25,125.9,OpenAI,API access,False
StarCoder 2 15B,2024-02-20,104.06,"Hugging Face,ServiceNow,NVIDIA,BigCode",Open weights (restricted use),True
StarCoder 2 7B,2024-02-20,92.33,"Hugging Face,ServiceNow,NVIDIA,BigCode",Open weights (restricted use),True
Gemma 2B,2024-02-21,93.0,Google DeepMind,Open weights (restricted use),True
Gemma 7B,2024-02-21,111.24,Google DeepMind,Open weights (restricted use),True
StarCoder 2 3B,2024-02-22,87.44,"Hugging Face,ServiceNow,NVIDIA,BigCode",Open weights (restricted use),True
Mistral Large,2024-02-26,120.7,Mistral AI,API access,False
Claude 3 Opus,2024-02-29,126.68,Anthropic,API access,False
Claude 3 Sonnet,2024-02-29,119.55,Anthropic,API access,False
Claude 3 Haiku,2024-03-07,117.25,Anthropic,API access,False
GPT-4 Turbo (Apr 2024),2024-04-09,127.3,OpenAI,API access,False
Mixtral 8x22B,2024-04-17,120.96,Mistral AI,Open weights (unrestricted),True
Llama 3-8B,2024-04-18,116.02,Meta AI,Open weights (restricted use),True
Llama 3-70B,2024-04-18,122.31,Meta AI,Open weights (restricted use),True
phi-3-small 7.4B,2024-04-23,121.32,Microsoft,Open weights (unrestricted),True
phi-3-mini 3.8B,2024-04-23,116.73,Microsoft,Open weights (unrestricted),True
phi-3-medium 14B,2024-04-23,120.74,Microsoft,Open weights (unrestricted),True
DeepSeek-V2 (MoE-236B),2024-05-07,124.33,DeepSeek,Open weights (restricted use),True
Falcon 2 11B,2024-05-09,108.73,Technology Innovation Institute,Open weights (restricted use),True
Qwen2-72B,2024-06-07,124.99,Alibaba,Open weights (unrestricted),True
Claude 3.5 Sonnet,2024-06-20,130.0,Anthropic,API access,False
Gemma 2 9B,2024-06-24,119.24,Google DeepMind,Open weights (restricted use),True
