Model name,date,ECI Score,Organization,Model accessibility,open
LLaMA-33B,2023-02-24,107.18,Meta AI,Open weights (non-commercial),True
LLaMA-65B,2023-02-24,109.95,Meta AI,Open weights (non-commercial),True
LLaMA-13B,2023-02-24,100.32,Meta AI,Open weights (non-commercial),True
LLaMA-7B,2023-02-24,96.43,Meta AI,Open weights (non-commercial),True
GPT-4 (Mar 2023),2023-03-14,125.94,OpenAI,API access,False
Falcon-40B,2023-03-15,104.21,Technology Innovation Institute,Open weights (unrestricted),True
Cerebras-GPT-13B,2023-03-20,82.97,Cerebras Systems,Open weights (unrestricted),True
Dolly 2.0-12b,2023-04-11,89.39,Databricks,Open weights (unrestricted),True
Falcon-7B,2023-04-24,94.83,Technology Innovation Institute,Open weights (unrestricted),True
MPT-7B,2023-05-05,94.32,MosaicML,Open weights (unrestricted),True
Baichuan1-7B,2023-06-01,90.16,Baichuan,Open weights (non-commercial),True
GPT-4 (Jun 2023),2023-06-13,121.92,OpenAI,API access,False
MPT-30B,2023-06-22,100.4,MosaicML,Open weights (unrestricted),True
XGen-7B,2023-06-27,93.13,Salesforce,Open weights (unrestricted),True
Claude 2,2023-07-11,119.6,Anthropic,API access,False
Llama 2-7B,2023-07-18,98.8,Meta AI,Open weights (restricted use),True
Llama 2-70B,2023-07-18,113.74,Meta AI,Open weights (restricted use),True
Llama 2-13B,2023-07-18,105.93,Meta AI,Open weights (restricted use),True
Stable Beluga 2,2023-07-20,116.92,Stability AI,Open weights (non-commercial),True
Claude Instant,2023-08-09,121.12,Anthropic,API access,False
Baichuan2-13B,2023-09-06,102.95,Baichuan,Open weights (restricted use),True
Falcon-180B,2023-09-06,111.94,Technology Innovation Institute,Open weights (restricted use),True
Phi-1.5,2023-09-11,91.28,Microsoft,Open weights (unrestricted),True
Baichuan 2-7B,2023-09-20,96.06,Baichuan,Open weights (restricted use),True
Mistral 7B,2023-09-27,111.99,Mistral AI,Open weights (unrestricted),True
Qwen-14B,2023-09-28,112.81,Alibaba,Open weights (restricted use),True
Qwen-7B,2023-09-28,106.58,Alibaba,Open weights (restricted use),True
DeepSeek Coder 6.7B,2023-11-02,89.34,"DeepSeek,Peking University",Open weights (restricted use),True
Yi 6B,2023-11-02,104.53,01.AI,Open weights (restricted use),True
DeepSeek Coder 1.3B,2023-11-02,64.03,"DeepSeek,Peking University",Open weights (restricted use),True
DeepSeek Coder 33B,2023-11-02,96.05,"DeepSeek,Peking University",Open weights (restricted use),True
GPT-3.5 Turbo,2023-11-06,118.3,OpenAI,API access,False
