Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Source,Source link,Notes,id
gemini-3.1-pro-preview,0.98,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro (Preview),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recVzc3uOYbFmIWtV
gpt-5.6-sol_xhigh,0.975,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (xHigh),https://arcprize.org/leaderboard,,,recrNPlnXllOt0Hvg
gpt-5.6-sol_high,0.97,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (High),https://arcprize.org/leaderboard,,,recCdwY3IG6HNCGGJ
gpt-5.5-pro_high,0.965,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (High),https://arcprize.org/leaderboard,,,recl8K2yYdGuM18Vy
gpt-5.6-sol_max,0.965,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Max),https://arcprize.org/leaderboard,,,recQ2TSIxubhoK4nZ
gpt-5.6-terra_max,0.965,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Max),https://arcprize.org/leaderboard,,,recabQE8jIZy7XTnk
gpt-5.5_xhigh,0.9500000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xHigh),https://arcprize.org/leaderboard,,,recAosypqreZ8jmIT
gpt-5.5-pro_xhigh,0.9500000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (xHigh),https://arcprize.org/leaderboard,,,recrLBN8ncVRXcY2G
gpt-5.4-pro-2026-03-05_xhigh,0.9450000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 Pro (xHigh),,,,recoac8q5cQOYtiEr
gpt-5.5_high,0.9450000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (High),https://arcprize.org/leaderboard,,,rechGGHK5NkpuRbvZ
gpt-5.6-terra_xhigh,0.9400000000000001,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (xHigh),https://arcprize.org/leaderboard,,,recZAbgf19TPU7sN1
claude-opus-4-6_120K,0.94,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (High, 120k thinking)",ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recZTnD93GgPevLI2
gpt-5.4-2026-03-05_xhigh,0.9367000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (xHigh),,,,recYZZpkF3X0HOhG6
claude-opus-4-7_high,0.935,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (High),,,,recsAZge7JFpmZUCV
gpt-5.4-2026-03-05_high,0.9267000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (High),,,,recggD3Y6D88kSVaH
gemini-3.5-flash_high,0.925,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash (High),https://arcprize.org/leaderboard,,,recVnYyaVQjDvDtup
claude-opus-4-8_max,0.925,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Max),https://arcprize.org/leaderboard,,,recX5Vpu2SxT2jvtJ
gpt-5.6-sol_medium,0.925,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Medium),https://arcprize.org/leaderboard,,,recBnEMNkjbANkBPV
gpt-5.5_medium,0.9217000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Medium),https://arcprize.org/leaderboard,,,rec3T7XZVcuk74DEh
claude-opus-4-7_max,0.92,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (Max),,,,recBvnwhpAjJYVBYf
claude-opus-4-8_high,0.92,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (High),https://arcprize.org/leaderboard,,,recYbC1GbUCLyPSIp
gpt-5.6-terra_high,0.92,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (High),https://arcprize.org/leaderboard,,,recgED1Md3qIP7P7j
claude-opus-4-8_medium,0.915,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Medium),https://arcprize.org/leaderboard,,,recOGBDeWlb8DCkFv
claude-opus-4-7_low,0.91,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Low),https://arcprize.org/leaderboard,,,recQXzhqc6WDcJWp6
claude-opus-4-7_medium,0.91,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Medium),https://arcprize.org/leaderboard,,,recBBFNgJ4AHLvHWQ
gpt-5.2-pro-2025-12-11_xhigh,0.905,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (X-High),,,,recT4SRr3jv5zIy1J
grok-4-20,0.895,2026-02-17,xAI,United States of America,,,Grok 4.20 (Reasoning),https://arcprize.org/leaderboard,,,rec1UyvWkk0dqISpu
claude-opus-4-8_low,0.88,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Low),https://arcprize.org/leaderboard,,,rec3CNglZ0AQBUIRC
gpt-5.6-luna_max,0.88,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Max),https://arcprize.org/leaderboard,,,recYjOYezFdRMvEGW
gpt-5.6-luna_xhigh,0.8767,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (xHigh),https://arcprize.org/leaderboard,,,recN52OtrmxlFYCZs
gemini-3-deep-think-preview,0.875,2026-02-12,,,,,Gemini 3 Deep Think (Preview) ²,,,,recpC5nib10TXfNiG
claude-sonnet-4-6_high,0.865,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (High),,,,recVQARdNCk8I5YS2
gpt-5.2-2025-12-11_xhigh,0.862,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (X-High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recgxHD7jV9nk6VyZ
gpt-5.4-2026-03-05_medium,0.8617,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Medium),,,,recJZdb4rBpTeaaTI
claude-sonnet-4-6_max,0.86,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (Max),,,,recsU65UVdKsRlUJk
gpt-5.2-pro-2025-12-11_high,0.8567,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (High),,,,recKYn0z5TIlRsr82
gpt-5.2-pro-2025-12-11_medium,0.8117000000000001,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (Medium),,,,recAdSbvORoPGa4Qi
claude-opus-4-5-20251101_64K,0.8,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4.5 (64k thinking),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recXBzrtTETaQuvxw
gpt-5.2-2025-12-11_high,0.787,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recG0lrSvCvamnnBm
glm-5.2_unknown,0.77,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2,https://arcprize.org/leaderboard,,,rec783bNfpoKvxStC
gpt-5.6-terra_medium,0.77,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Medium),https://arcprize.org/leaderboard,,,rec2gOLjWGIo3EDZc
gpt-5.6-luna_high,0.765,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (High),https://arcprize.org/leaderboard,,,recZ2UaRzTx3PmoSP
gpt-5.5_low,0.7617,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Low),https://arcprize.org/leaderboard,,,rec7WJ0gbABZ60vSH
claude-opus-4-5-20251101_32K,0.758,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4.5 (32k thinking),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recn5WFdr0nWTOt7b
,0.757,,,,,,o3-preview (Low)*,ARC Prize Leaderboard,https://arcprize.org/leaderboard,Excluded since there will never be any other benchmark data for it apart from FrontierMath,recM25loZNyA1teVD
gemini-3-pro-preview,0.75,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,Gemini 3 Pro,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recJT3M7RL0TgeABi
gpt-5.6-sol_low,0.745,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Low),https://arcprize.org/leaderboard,,,recFnbBRcRFSkkzd1
gpt-5.1-2025-11-13_high,0.728,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",GPT-5.1 (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec8sLsUfujiSrlk4
gpt-5.2-2025-12-11_medium,0.7267,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Medium),,,,recgYU9vtVcXAzyE7
claude-opus-4-5-20251101_16K,0.72,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 16K)",,,,recPFxyFbtk2zgGrK
gpt-5-pro-2025-10-06_high,0.702,2025-10-07,OpenAI,United States of America,,,GPT-5 Pro,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec4jlS7emdBeDgkx
gpt-5-pro-2025-10-06_unknown,0.7017,2025-10-07,OpenAI,United States of America,,,GPT-5 Pro,,,,recS53Gln4vftmgkx
gpt-5.4-2026-03-05_low,0.6817000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Low),,,,recmvkkmWAsDklsPA
grok-4-0709,0.6667000000000001,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",Grok 4 (Thinking),,,,rec2xTKJLWfMMxIvS
gpt-5-2025-08-07_high,0.657,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recy0dyn1Ex4jNC4H
kimi-k2.5,0.6533,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5,,,,reckd4ffXh86QXwwY
claude-sonnet-4-5-20250929_32K,0.6367,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 32K),,,,rec17BpugSGZTB9s8
MiniMax-M2.5,0.6367,2026-02-12,MiniMax,China,,,Minimax M2.5,,,,receB8OOl8dtDUVr6
gpt-5.4-mini-2026-03-17_xhigh,0.6367,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (xHigh),https://arcprize.org/leaderboard,,,rec05QEcCMeKiXIgI
o3-2025-04-16_high,0.608,2025-04-16,OpenAI,United States of America,,,o3 (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recyX2f3amNA4ZPUQ
gpt-5.6-terra_low,0.6017,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Low),https://arcprize.org/leaderboard,,,recHsvqtEj8sE4t1S
o3-pro-2025-06-10_high,0.593,2025-06-10,OpenAI,United States of America,,,o3-Pro (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recgEreMuMqYTWJuX
o4-mini-2025-04-16_high,0.587,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,receup1qngSep4blO
claude-opus-4-5-20251101_8K,0.5867,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 8K)",,,,recnTJS3iYYQ2jc7n
gpt-5.4-mini-2026-03-17_high,0.58,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (High),https://arcprize.org/leaderboard,,,recQuMohacriH1ZXn
gpt-5.1-2025-11-13_medium,0.577,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",GPT-5.1 (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,reccC3Lgebztl4MAm
o3-pro-2025-06-10_medium,0.57,2025-06-10,OpenAI,United States of America,,,o3-Pro (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,reco8WbS3E6S6DSwq
deepseek/deepseek-v3.2,0.57,2025-12-01,DeepSeek,China,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",Deepseek V3.2,,,,recexUBOP4rLbxskl
gpt-5.6-luna_medium,0.565,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Medium),https://arcprize.org/leaderboard,,,recUw0ZVlPFxA8ETK
gpt-5-2025-08-07_medium,0.562,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recfuBzPqyWo5BEjp
gpt-5.2-2025-12-11_low,0.5567,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Low),,,,rectoL9U5nR5I823g
gpt-5-mini-2025-08-07_high,0.5433,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (High),,,,recYLj0L3xmejkpDR
o3-2025-04-16_medium,0.538,2025-04-16,OpenAI,United States of America,,,o3 (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,reczsOK58YJa6GAAz
gpt-5.4-nano-2026-03-17_xhigh,0.515,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (xHigh),https://arcprize.org/leaderboard,,,recNETiFSCWWQlZLG
gemini-3.5-flash_minimal,0.4883,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash (Minimal),https://arcprize.org/leaderboard,,,recnkvbCp6BqU3GuM
grok-4-fast,0.485,2025-09-19,xAI,United States of America,,,Grok 4 (Fast Reasoning),,,,recNDgnXdjMNbLBuO
claude-sonnet-4-5-20250929_16K,0.4833,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 16K),,,,recBS5Nb7JpfywLTo
claude-haiku-4-5-20251001_32K,0.4767,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 32K),,,,recSjmMESs5Bif5dG
claude-sonnet-4-5-20250929_8K,0.465,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 8K),,,,recm8p4NdctHUJDq3
glm-5,0.44670000000000004,2026-02-11,Z.ai (Zhipu AI),China,,,GLM-5,,,,reczebBHCblQzBn5N
o3-pro-2025-06-10_low,0.443,2025-06-10,OpenAI,United States of America,,,o3-Pro (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec2DTU08MgXm0hds
gpt-5-2025-08-07_low,0.44,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recyhP0MFpu4yP9Fs
o4-mini-2025-04-16_medium,0.418,2025-04-16,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o4-mini (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recFnX3IAcQd2NffG
o3-2025-04-16_low,0.415,2025-04-16,OpenAI,United States of America,,,o3 (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recmynZQA4oogWrzw
gemini-2.5-pro_16K,0.41000000000000003,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 16K),,,,recMuDqJwbLT2EDuY
gpt-5.4-mini-2026-03-17_medium,0.4083,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (Medium),https://arcprize.org/leaderboard,,,recmn6AVhsYVjq4DI
claude-sonnet-4-20250514_16K,0.4,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Sonnet 4 (Thinking 16K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec00IX4WEZ6XvDQd
tiny-recursion-model,0.4,2025-10-06,,,,,Tiny Recursion Model (TRM),,,,recFIWEjevgWkejR0
claude-opus-4-5-20251101,0.4,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, None)",,,,recQS3YkzKXSzapvO
gpt-5.4-nano-2026-03-17_high,0.38170000000000004,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (High),https://arcprize.org/leaderboard,,,recKvmcoxVuVU3rEP
gpt-5-mini-2025-08-07_medium,0.3733000000000001,2025-08-07,OpenAI,United States of America,,,GPT-5 Mini (Medium),,,,rec5TE9pAmGVT4dTe
claude-haiku-4-5-20251001_16K,0.3733000000000001,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5 (Thinking 16K),,,,rec66qqPrc9KEuz6G
gemini-2.5-pro_32K,0.37,2025-06-17,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Thinking 32K),,,,recgu9IZuwPFiUJYg
claude-opus-4-20250514_16K,0.357,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 16K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recpPgRxRuNQ6MJbU
o3-mini-2025-01-31_high,0.345,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",o3-mini (High),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recsslT51vOvwD7Hw
gpt-5.6-luna_low,0.3417,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Low),https://arcprize.org/leaderboard,,,recABKYEfZ7PyiB5S
gemini-2.5-flash-preview-05-20_16K,0.333,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 16K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recPvvngATSJ9tzRl
gemini-2.5-flash-preview-05-20,0.333,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recRaEsoFzvHSY2ds
gpt-5.1-2025-11-13_low,0.33170000000000005,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, Low)",,,,recwxEKhGNXOQtDaL
,0.331,,,,,,GPT-5.1 (Low),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rectUG8eOKZjJ1xGs
gemini-2.5-pro-preview-03-25,0.33,2025-03-31,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Gemini 2.5 Pro (Preview),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recGhSAAXTywTt6ks
gpt-5.4-nano-2026-03-17_medium,0.33,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Nano (Medium),https://arcprize.org/leaderboard,,,recjUSAkzsZXxB1Bq
gemini-2.5-flash-preview-05-20_23K,0.3233,2025-05-20,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 24K),,,,recrGgsi1mnHqQ5CS
gemini-2.5-flash-preview-04-17 (24K thinking),0.323,2025-04-17,Google DeepMind,United States of America,,,Gemini 2.5 Flash (Preview) (Thinking 24K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec9VDig3HkReY0oP
gemini-2.5-pro-preview-06-05_1K,0.313,2025-06-05,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Gemini 2.5 Pro (Preview, Thinking 1K)",ARC Prize Leaderboard,https://arcprize.org/leaderboard,Thinking budgets have only been supported since 06-05,recdEFBjW5RECOz15
claude-sonnet-4-5-20250929_1K,0.31,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 1K),,,,recZuRgDEIeVMg4pB
o1-2024-12-17_medium,0.307,2024-12-17,OpenAI,United States of America,,,o1 (Medium),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec3bVHAcLI4a7u7z
claude-opus-4-20250514_8K,0.307,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 8K),ARC Prize Leaderboard,https://arcprize.org/leaderboard,,rec5eQ6jRbh3n8fQc
