Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Source,Source link,Notes,id
mpt-7b,0.7,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,rec2xXtaYsETkAIic
chatglm2-6b,0.543,2023-06-24,,,,,ChatGLM2,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,reczTSlKRTLtNSENB
internlm-7b,0.67,2023-07-05,,,,,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,rec7doikBryvY92fX
internlm-20b,0.718,2023-09-18,,,,,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,reclSAZPhymLQvV01
,0.482,,,,,,XVerse,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recsrCl1BLlwQCvo0
Baichuan-2-7B-Base,0.733,2023-09-20,Baichuan,China,1.092e+23,"7b * 2.6t * 6 = 1.092e23
Also mentions 1,024 NVIDIA A800 GPUs at 180 TFLOPS per GPU",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recYHhnjZgZIXdZsp
Baichuan-2-13B-Base,0.74,2023-09-06,Baichuan,China,2.03e+23,"They describe the dataset as having 2.6T tokens, but the checkpoint graph makes it clear that's also the number of tokens the model was trained on.

13b * 2.6t * 6 = 2.03e23",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recNL96PBikW3geVY
LLaMA-7B,0.733,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recXxy43JUGK2jPzL
LLaMA-13B,0.752,2023-02-24,Meta AI,United States of America,7.8e+22,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22

from paper, Llama-13B took 135,168 GPU hours using A100s

312 trillion * 135,168 * 3600 = 1.518e23 FLOPs at full utilization
This implies that the actual utilization was:
MFU = 7.8e22/1.518e23 = 0.514",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recWRJ7s4P8mK4b3y
LLaMA-33B,0.772,2023-02-24,Meta AI,United States of America,2.7300000000001e+23,1.4T tokens * 32.5B params * 6 FLOP/token/param = 2.73e+23 FLOP,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,rec1P4zL04qfPtmrX
LLaMA-65B,0.777,2023-02-24,Meta AI,United States of America,5.5e+23,1.4e12 tokens * 6.52e10 parameters * 6 FLOP/token/parameter = 5.5e23 FLOP,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recfGUja0cWwBFXaA
Llama-2-7b,0.733,2023-07-18,Meta AI,United States of America,8.4e+22,"Trained on 2 trillion tokens per Table 1. 

C = 6ND = 6 FLOP / token / parameter * 7B parameters * 2T tokens = 8.4e+22 FLOP.

Also, 7B model was trained on 184320 GPU-hours

312 trillion * 184320 GPU-hours * 3600 sec/hour * 0.3 [utilization] = 6.21e22 FLOP",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recU0DvIGj0Cx7FUc
Llama-2-13b,0.765,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,rechMH4HPGuohVfC6
Llama-2-70b-hf ,0.789,2023-07-18,Meta AI,United States of America,8.1e+23,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recoEvP3kjsU0RhfV
StableBeluga2,0.713,2023-07-20,Stability AI,United Kingdom of Great Britain and Northern Ireland,,,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recaCNICEk1UnsEbl
Qwen-1_8B,0.584,2023-11-30,,,,,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recC7agcItthoBTMw
Qwen-7B,0.679,2023-09-28,Alibaba,China,1.01e+23,"2.4T tokens per Table 1

7b*2.4T*6 = 1.01e23",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,rechdx8dakBhmNq77
Qwen-14B,0.711,2023-09-28,Alibaba,China,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recNTDzKb9IjM2007
,0.414,,,,,,GLaM (MoE) 0.1B/64E,0,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts,http://arxiv.org/abs/2112.06905,,recqoZjJbdXrF2PwC
