Model version,Accuracy,Accuracy Standard Error,Reasoning effort,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Provider,Latency (seconds),Cost per test (USD),Source,Notes
claude-opus-5_max,0.99,0.04163,,2026-07-24,Anthropic,United States of America,,,anthropic/claude-opus-5,Anthropic,590.9,1.786125,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
claude-fable-5_max,0.9500000000000001,0.042300000000000004,max,2026-06-09,Anthropic,United States of America,,,anthropic/claude-fable-5,Anthropic,824.8,5.24099,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
kimi-k3_unknown,0.87,0.04606,,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",kimi/kimi-k3,Moonshot AI,2033.4,1.646802,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gpt-5.6-sol_max,0.8300000000000001,0.04208,max,2026-07-09,OpenAI,United States of America,,,openai/gpt-5.6-sol,OpenAI,520.4,1.42393,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
claude-sonnet-5_max,0.77,0.04761,max,2026-06-30,Anthropic,United States of America,,,anthropic/claude-sonnet-5,Anthropic,937.1,2.275898,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gpt-5.6-terra_xhigh,0.74,0.045599999999999995,xhigh,2026-07-09,OpenAI,United States of America,,,openai/gpt-5.6-terra,OpenAI,777.341,1.0087,https://www.vals.ai/benchmarks/proof_bench,
claude-opus-4-8_max,0.6900000000000001,0.04648,max,2026-05-28,Anthropic,United States of America,,,anthropic/claude-opus-4-8,Anthropic,1166.322,2.293129,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.0-era value; model absent from the v1.1 board (vals.ai re-grade 2026-08-14, methodology changed) and not re-run. Not comparable to v1.1 rows. Annotated 2026-08-18."
gpt-5.6-luna_max,0.6,0.05009,max,2026-07-09,OpenAI,United States of America,,,openai/gpt-5.6-luna,OpenAI,513.7,0.096675,https://www.vals.ai/benchmarks/proof_bench,"ProofBench v1.1 re-grade (vals.ai, 2026-08-14): corrected Lean formalizations + hardened grader (rejects sorry/admit shortcuts, larger elaboration budgets). Not comparable to v1.0-era values. Updated 2026-08-18 after multi-agent verification."
gemini-3.7-flash_unknown,0.58,,,2026-08-13,Google DeepMind,United States of America,,,google/gemini-3.7-flash,,423.698,0.558508,https://www.vals.ai/benchmarks/proof_bench,
qwen3.8-max_unknown,0.58,,,2026-08-02,Alibaba,China,,,alibaba/qwen3.8-max,,1862.884,1.443825,https://www.vals.ai/benchmarks/proof_bench,
