Model version,Accuracy,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost,id
gpt-5.6-sol_max,0.323,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (max),,recok7WFznQiAaI15
gpt-5.5-pro_xhigh,0.305714285714286,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (xhigh),,recB9otf2Iy1aL15O
gpt-5.4-pro-2026-03-05_xhigh,0.3,2026-03-05,OpenAI,United States of America,,,GPT-5.4 Pro (xhigh),,recpj4aTRQU6UUqUg
gpt-5.6-terra_max,0.3,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (max),,rec5E8CdC6AxpPjGM
gpt-5.6-sol_xhigh,0.286,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (xhigh),,recCCEqC3wisl7qU4
claude-fable-5_max,0.2857142857,2026-06-09,Anthropic,United States of America,,,"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",,recVfxdxUtc8D2L0n
gpt-5.5_xhigh,0.271428571428571,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xhigh),,rec7ob5La2ExbJeLM
gemini-3-deep-think-preview,0.257142857142857,2026-02-12,,,,,Gemini 3 Deep Think,,recq3pI3ZzF2fZiaI
gpt-5.5_high,0.254285714285714,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (high),,recLoNQxQteSxrTSI
gpt-5.4-2026-03-05_xhigh,0.23428571430000003,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (xhigh),,recRZ2byfLFxfUg3P
claude-opus-4-8_max,0.20857142857142902,2026-05-28,Anthropic,United States of America,,,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",,recXxyRL6OkDzcqI8
glm-5.2_max,0.20857142857142902,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2 (max),,reccz0GyjqLGPM3cH
gpt-5.6-luna_max,0.206,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (max),,recOr7SfqxNxcZELE
gpt-5.5_medium,0.18571428571428603,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (medium),,rec9tobYSj0aIDyTz
gemini-3.1-pro-preview,0.177142857142857,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro Preview,,recjxJ5hAbmtjQIIn
claude-sonnet-5_max,0.168571428571429,2026-06-30,Anthropic,United States of America,,,"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",,reczNcIVusSshoSMi
qwen3.7-max,0.134285714285714,2026-05-19,Alibaba,China,,,Qwen3.7 Max,,recrFEli7KIbnH2Id
gemini-3.5-flash_high,0.131428571428571,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash (high),,recCV91VfXHxJp3bC
deepseek-v4-pro_max,0.128571428571429,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,"DeepSeek V4 Pro (Reasoning, Max Effort)",,rec1L46OeAGTWKlTb
gpt-5-2025-08-07_high,0.126,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus","GPT-5 (high, code & web)",202.3,recdr3BrRL90Bz4BD
claude-opus-4-7_max,0.12,2026-04-16,Anthropic,United States of America,,,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",,recet99FlOwSOYz79
