Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
deepseek-v4-pro-0813_max,0.47,0.47,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,0.05016135580465918,,,2026-08-18T21:03:23.000Z,EyKecrMhk7Yx25e5HGW43i
gemini-3.7-flash_high,0.47,0.47,2026-08-13,Google DeepMind,United States of America,,,0.05016135580465918,,,2026-08-14T18:29:12.000Z,BnqWATgxsPzSF7ojBEMoG3
inkling-small_xhigh,0.18,0.18,2026-07-15,Thinking Machines,United States of America,,,0.03861229196653691,,,2026-08-14T14:19:47.000Z,YyEeZDLsvCT5LdNjR9cUrg
grok-4.6_xhigh,0.31,0.31,2026-08-12,xAI,United States of America,,,0.04648231987117317,,,2026-08-14T13:47:42.000Z,RiyrdXiqrXT98mKM9nMsmu
grok-4.6_high,0.4,0.4,2026-08-12,xAI,United States of America,,,0.0492365963917331,,,2026-08-12T19:39:52.000Z,NGQ4Q8Wrb4aroMu5RecTS6
MiniMax-M3,0.14,0.14,2026-06-01,MiniMax,China,,,0.0348735088019777,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FXwemU6ABotEuG9o5TRLG2r.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/XwemU6ABotEuG9o5TRLG2r.eval,2026-08-10T17:45:57.000Z,XwemU6ABotEuG9o5TRLG2r
glm-5.2_none,0.06,0.06,2026-06-16,Z.ai (Zhipu AI),China,,,0.023868325657594204,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FkwT2PhMLMheWkxaqwh8PKq.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/kwT2PhMLMheWkxaqwh8PKq.eval,2026-08-10T17:45:54.000Z,kwT2PhMLMheWkxaqwh8PKq
glm-5.1,0.19,0.19,2026-04-07,Z.ai (Zhipu AI),China,,,0.039427724440366255,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FkmHbjBrwGgEKNr65JrXcGX.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/kmHbjBrwGgEKNr65JrXcGX.eval,2026-08-10T17:44:45.000Z,kmHbjBrwGgEKNr65JrXcGX
o1-2024-12-17_medium,0.12,0.12,2024-12-17,OpenAI,United States of America,,,0.03265986323710904,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FVLUaHXkfMD6HzDHMSEyBAT.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/VLUaHXkfMD6HzDHMSEyBAT.eval,2026-08-07T01:06:53.000Z,VLUaHXkfMD6HzDHMSEyBAT
o1-2024-12-17_high,0.15,0.15,2024-12-17,OpenAI,United States of America,,,0.035887028128263665,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FoZ2GUFDoLA9sDdyefwgHPE.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/oZ2GUFDoLA9sDdyefwgHPE.eval,2026-08-07T01:06:49.000Z,oZ2GUFDoLA9sDdyefwgHPE
