Model version,ECI Score,Release date,Organization,Country,Model accessibility,Training compute (FLOP),Confidence,Model name,Description,Display name
deepseek-v4-pro-0813_max,,2026-08-13,DeepSeek,China,Open weights (unrestricted),9.702e+24,Unverified,DeepSeek V4 Pro 0813,,DeepSeek V4 Pro 0813 (max)
grok-4.6_xhigh,155.94,2026-08-12,xAI,United States of America,API access,,Confident,Grok 4.6,,Grok 4.6 (xhigh)
inkling-small_xhigh,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small (xhigh)
gemini-3.7-flash_high,156.85,2026-08-13,Google DeepMind,United States of America,API access,,Confident,Gemini 3.7 Flash,,Gemini 3.7 Flash (high)
grok-4.6_high,155.94,2026-08-12,xAI,United States of America,API access,,Confident,Grok 4.6,,Grok 4.6 (high)
claude-opus-4-7_high,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (high)
gemini-3.5-flash_high,154.45,2026-05-19,Google,United States of America,API access,,Confident,Gemini 3.5 Flash,,Gemini 3.5 Flash
gpt-5.5_medium,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (medium)
claude-opus-4-8_high,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8
gpt-5.6-sol_medium,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (medium)
claude-fable-5_high,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5 (high)
MiniMax-M3,147.54,2026-06-01,MiniMax,China,Open weights (restricted use),,Confident,MiniMax-M3,,
glm-5.2_none,152.14,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),,Confident,GLM-5.2,,GLM-5.2
glm-5.1,150.86,2026-04-07,Z.ai (Zhipu AI),China,Open weights (unrestricted),,Confident,GLM-5.1,,GLM-5.1
gemini-3.1-pro-preview_high,154.62,2026-02-19,Google DeepMind,United States of America,API access,,Likely,Gemini 3.1 Pro,,Gemini 3.1 Pro Preview
gpt-5.5_high,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (high)
gpt-5.4-2026-03-05_high,156.5,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4,,GPT-5.4 (high)
gpt-5.6-sol_high,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (high)
gpt-5.6-sol_max,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (max)
claude-opus-5_max,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5 (max)
claude-opus-4-8_max,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8
o1-2024-12-17_medium,142.57,2024-12-17,OpenAI,United States of America,API access,,Unknown,o1,"OpenAI's first reasoning model, evaluated with at the medium reasoning effort level.",o1 (medium)
o1-2024-12-17_high,142.57,2024-12-17,OpenAI,United States of America,API access,,Unknown,o1,"OpenAI's first reasoning model, evaluated with at the high reasoning effort level.",o1 (high)
gpt-4-0613,121.55,2023-06-13,OpenAI,United States of America,API access,2.1e+25,Likely,GPT-4 (Jun 2023),"The June 2023 version of GPT-4, OpenAI's 2023 multimodal flagship model.",GPT-4 (Jun 2023)
gpt-5.4-mini-2026-03-17_xhigh,149.29,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Mini,,GPT-5.4 mini (xhigh)
gpt-5.6-sol_none,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (none)
gpt-5.5_none,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (no thinking)
kimi-k3_low,157.49,2026-07-16,Moonshot,China,Open weights (non-commercial),2.0001e+25,Speculative,Kimi K3,,Kimi K3 (low)
kimi-k3_high,157.49,2026-07-16,Moonshot,China,Open weights (non-commercial),2.0001e+25,Speculative,Kimi K3,,Kimi K3 (high)
o3-2025-04-16_medium,147.0,2025-04-16,OpenAI,United States of America,API access,,Unknown,o3,"OpenAI's second generation o-series reasoning model, evaluated with medium reasoning effort.",o3 (medium)
gpt-5.6-terra_none,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (none)
gpt-5.4-mini-2026-03-17_none,149.29,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Mini,,GPT-5.4 mini (none)
gpt-5.6-sol_low,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (low)
qwen3.6-max-preview,149.3,2026-04-20,Alibaba,China,,,Unverified,Qwen 3.6 Max (Preview),,Qwen 3.6 Max (Preview)
gpt-5.5_low,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (low)
qwen3.7-max,153.58,2026-05-19,Alibaba,China,API access,,Confident,Qwen3.7-Max,,Qwen3.7 Max
o3-2025-04-16_high,147.0,2025-04-16,OpenAI,United States of America,API access,,Unknown,o3,"OpenAI's second generation o-series reasoning model, evaluated with high reasoning effort.",o3 (high)
gpt-5.1-2025-11-13_none,149.58,2025-11-13,OpenAI,United States of America,API access,,Unknown,GPT-5.1,,GPT-5.1 (no thinking)
kimi-k2.7-code,150.52,2026-06-12,Moonshot,China,Open weights (unrestricted),,Confident,Kimi K2.7 Code,,Kimi K2.7 Code
gpt-5.6-terra_low,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (low)
gpt-4.1-2025-04-14,137.33,2025-04-14,OpenAI,United States of America,API access,,Unknown,GPT-4.1,A coding-optimized GPT-4 series model from OpenAI.,GPT-4.1
gpt-5.6-luna_none,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (none)
qwen3.6-plus,149.35,2026-03-31,Alibaba,China,API access,,Confident,Qwen 3.6 Plus,,Qwen 3.6 Plus (2026-04-02)
o4-mini-2025-04-16_medium,146.32,2025-04-16,OpenAI,United States of America,API access,,Unknown,o4-mini,"The latest smaller size o-series reasoning model from OpenAI, evaluated with medium reasoning effort.",o4-mini (medium)
o3-mini-2025-01-31_medium,141.36,2025-01-31,OpenAI,United States of America,API access,,Unknown,o3-mini,"A smaller version of OpenAI's o3 reasoning model, evaluated with medium reasoning effort.",o3-mini (medium)
qwen3.6-27b,,2026-04-22,Alibaba,China,Open weights (unrestricted),,Confident,Qwen3.6 27B,,Qwen3.6 27B
qwen3.6-27b_none,,2026-04-22,Alibaba,China,Open weights (unrestricted),,Confident,Qwen3.6 27B,,Qwen3.6 27B
qwen3.5-397b-a17b,,2026-02-13,Alibaba,China,Open weights (unrestricted),,Likely,Qwen3.5 397B-A17B,,Qwen3.5 397B-A17B
qwen3.5-397b-a17b_none,,2026-02-13,Alibaba,China,Open weights (unrestricted),,Likely,Qwen3.5 397B-A17B,,Qwen3.5 397B-A17B
gpt-5.1-2025-11-13_low,149.58,2025-11-13,OpenAI,United States of America,API access,,Unknown,GPT-5.1,,GPT-5.1 (low)
qwen3.5-plus,147.13,2026-02-16,Alibaba,China,,,Likely,Qwen 3.5 Plus (hosted 397B-A17B),,Qwen3.5 Plus
gpt-oss-20b_high,136.65,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),5.49e+23,Confident,gpt-oss-20b,"The smaller one of OpenAI's two latest open source language models, evaluated with high reasoning effort.",
gemini-3.6-flash_minimal,154.2,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.6 Flash,,Gemini 3.6 Flash
gemini-3.6-flash_low,154.2,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.6 Flash,,Gemini 3.6 Flash
qwen3.6-35b-a3b,145.06,2026-04-14,Alibaba,China,Open weights (unrestricted),,Unverified,Qwen 3.6 35B-A3B,,Qwen3.6 35B-A3B
qwen3.6-35b-a3b_none,145.06,2026-04-14,Alibaba,China,Open weights (unrestricted),,Unverified,Qwen 3.6 35B-A3B,,Qwen3.6 35B-A3B
qwen3.6-flash,144.06,2026-04-27,Alibaba,China,,,Unverified,Qwen 3.6 Flash,,Qwen 3.6 Flash (2026-04-16)
gpt-5.6-luna_low,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (low)
qwen3.7-plus,148.26,2026-06-02,Alibaba,China,,,Unverified,Qwen3.7-Plus,,Qwen3.7 Plus
qwen3.7-plus_none,148.26,2026-06-02,Alibaba,China,,,Unverified,Qwen3.7-Plus,,Qwen3.7 Plus
gpt-5-mini-2025-08-07_minimal,145.83,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 mini,"A smaller version of OpenAI's latest flagship frontier model, benchmarked using medium reasoning effort.",GPT-5 mini (minimal)
gpt-5-mini-2025-08-07_high,145.83,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 mini,"A smaller version of OpenAI's latest flagship frontier model, benchmarked using high reasoning effort.",GPT-5 mini (high)
gpt-5-mini-2025-08-07_low,145.83,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 mini,"A smaller version of OpenAI's latest flagship frontier model, benchmarked using medium reasoning effort.",GPT-5 mini (low)
qwen3.7-flash,,2026-07-27,Alibaba,China,API access,,Confident,Qwen3.7 Flash,,Qwen3.7 Flash
qwen3.7-flash_none,,2026-07-27,Alibaba,China,API access,,Confident,Qwen3.7 Flash,,Qwen3.7 Flash
gpt-3.5-turbo-0125,114.02,2024-01-25,OpenAI,United States of America,API access,,Likely,GPT-3.5 Turbo,"A January 2024 preview version of GPT-3.5 Turbo, OpenAI's updated GPT-3.5 series model.",GPT-3.5 Turbo (Jan 2024)
gpt-5-nano-2025-08-07_high,140.98,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 nano,"The smallest version of OpenAI's latest flagship frontier model, benchmarked using high reasoning effort.",GPT-5 nano (high)
gpt-5.4-nano-2026-03-17_none,146.23,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Nano,,GPT-5.4 nano (no thinking)
qwen3.5-flash,143.87,2026-02-25,Alibaba,China,,,Likely,Qwen 3.5 Flash (hosted 35B-A3B),,Qwen3.5 Flash
gpt-5.4-nano-2026-03-17_low,146.23,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Nano,,GPT-5.4 nano (low)
gemma-4-31b-it_minimal,142.31,2026-04-02,Google DeepMind,United States of America,Open weights (restricted use),,Likely,Gemma 4 31B IT,,Gemma 4 31B IT
deepseek-v4-pro_none,149.49,2026-04-24,DeepSeek,China,Open weights (unrestricted),9.702e+24,Likely,DeepSeek-V4-Pro,,DeepSeek v4 Pro (unknown thinking)
deepseek-v4-pro_high,149.49,2026-04-24,DeepSeek,China,Open weights (unrestricted),9.702e+24,Likely,DeepSeek-V4-Pro,,DeepSeek v4 Pro (high)
claude-opus-4-6_max,155.01,2026-02-05,Anthropic,United States of America,API access,,Likely,Claude Opus 4.6,,Claude Opus 4.6 (max)
gemma-3-27b-it,130.63,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),2.268e+24,Confident,Gemma 3 27B,An instruction-tuned version of the 27 billion-parameter model Google DeepMind's Gemma 3 series.,
gemini-3.5-flash-lite_low,145.11,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.5 Flash-Lite,,Gemini 3.5 Flash-Lite
gemini-3.5-flash-lite_minimal,145.11,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.5 Flash-Lite,,Gemini 3.5 Flash-Lite
gemini-3.5-flash-lite_high,145.11,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.5 Flash-Lite,,Gemini 3.5 Flash-Lite
gemini-3.5-flash_low,154.45,2026-05-19,Google,United States of America,API access,,Confident,Gemini 3.5 Flash,,Gemini 3.5 Flash
gemini-3.1-flash-lite_minimal,145.01,2026-03-03,Google,United States of America,API access,,Likely,Gemini 3.1 Flash-Lite,,Gemini 3.1 Flash-Lite
gemini-3.1-flash-lite_low,145.01,2026-03-03,Google,United States of America,API access,,Likely,Gemini 3.1 Flash-Lite,,Gemini 3.1 Flash-Lite
gemini-3.1-flash-lite_high,145.01,2026-03-03,Google,United States of America,API access,,Likely,Gemini 3.1 Flash-Lite,,Gemini 3.1 Flash-Lite
gemini-3-flash-preview_high,151.72,2025-12-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 3 Flash,,Gemini 3 Flash Preview
claude-sonnet-5_max,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (max)
claude-opus-5_low,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5 (low)
