Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Agent,Source,Source link,Notes (details),Date added,Trajectories
,65.4,,,,,,agi-0 (50 steps),OS World Website,https://os-world.github.io/,,2025-11-16,
claude-sonnet-4-6,72.1,2026-02-17,Anthropic,United States of America,,,claude-sonnet-4-6 (100 steps),OS World Website,https://os-world.github.io/,,,
kimi-k2.5,,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5 (100 steps),OS World Website,https://os-world.github.io/,,,
claude-sonnet-4-5-20250929,62.9,2025-09-29,Anthropic,United States of America,,,claude-sonnet-4-5-20250929 (100 steps),OS World Website,https://os-world.github.io/,,2025-10-30,
claude-sonnet-4-5-20250929,58.1,2025-09-29,Anthropic,United States of America,,,claude-sonnet-4-5-20250929 (50 steps),OS World Website,https://os-world.github.io/,,2025-10-30,
,53.9,,,,,,DeepMiner-Mano-72B (100 steps),OS World Website,https://os-world.github.io/,,2025-10-30,
,53.1,,,,,,UI-TARS-2-2509 (100 steps),OS World Website,https://os-world.github.io/,,2025-10-13,
,45.0,,,,,,opencua-72b-preview (100 steps),OS World Website,https://os-world.github.io/,,2025-09-30,
,44.9,,,,,,opencua-72b-preview (50 steps),OS World Website,https://os-world.github.io/,,2025-09-30,
claude-sonnet-4-20250514,43.9,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,claude-4-sonnet-20250514 (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
claude-sonnet-4-5-20250929,42.9,2025-09-29,Anthropic,United States of America,,,claude-sonnet-4-5-20250929 (15 steps),OS World Website,https://os-world.github.io/,,2025-10-30,
,41.8,,,,,,UI-TARS-250705 (100 steps),OS World Website,https://os-world.github.io/,,2025-09-15,
,41.6,,,,,,qwen3-vl-flash-2025-10-25 (100 steps),OS World Website,https://os-world.github.io/,,2025-10-22,
claude-sonnet-4-20250514,41.4,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,claude-4-sonnet-20250514 (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,40.1,,,,,,DeepMiner-Mano-7B (100 steps),OS World Website,https://os-world.github.io/,,2025-09-17,
,40.0,,,,,,doubao-1-5-thinking-vision-pro-250717 (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,39.0,,,,,,opencua-72b-preview (15 steps),OS World Website,https://os-world.github.io/,,2025-09-30,
claude-3-7-sonnet-20250219,35.8,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,claude-3-7-sonnet-20250219 (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
claude-3-7-sonnet-20250219,35.6,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,claude-3-7-sonnet-20250219 (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,34.8,,,,,,opencua-32b (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,34.1,,,,,,opencua-32b (50 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
,33.8,,,,,,doubao-1-5-thinking-vision-pro-250428 (100 steps),OS World Website,https://os-world.github.io/,,2025-07-27,
