Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
gpt-5.6-terra_max,0.9972222222222222,0.9972222222222222,2026-07-09,OpenAI,United States of America,,,0.002777777777777778,,,2026-07-09T17:07:54.000Z,jUmmCNezoW7jWiK72SVCaP
gpt-5.6-luna_max,0.9833333333333333,0.9833333333333333,2026-07-09,OpenAI,United States of America,,,0.011650421590325524,,,2026-07-09T13:36:49.000Z,AhtQ5ggs4pTfLDqHFjueGy
gpt-5.6-sol_max,1.0,1.0,2026-07-09,OpenAI,United States of America,,,0.0,,,2026-07-09T02:07:13.000Z,7RjsANKwwsePSstcZeSMhX
grok-4.5_high,0.9777777777777777,0.9777777777777777,2026-07-08,xAI,United States of America,,,0.012743145865697103,,,2026-07-08T23:54:22.000Z,f8Pac6hqib4t7x2s4HCRoT
claude-sonnet-5_xhigh,0.9472222222222222,0.9472222222222222,2026-06-30,Anthropic,United States of America,,,0.022644349282618412,,,2026-07-01T16:06:23.000Z,T2wFfuSkUdyjpyqurxNmNK
glm-5.2_max,0.8638888888888889,0.8638888888888889,2026-06-16,Z.ai (Zhipu AI),China,,,0.04219779330510574,,,2026-06-25T00:15:08.000Z,XjFqou6MyT2XLpkUsCrgxM
grok-4.3_high,0.9333333333333333,0.9333333333333333,2026-04-17,xAI,United States of America,,,0.03041173683586219,,,2026-06-17T17:51:54.000Z,fzoUFmy77NpEDtXyA6w6ap
deepseek-v4-pro_max,0.9666666666666667,0.9666666666666667,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,0.02002208376727653,,,2026-06-17T00:34:52.000Z,HjTDENSpy9sancDzr7pccY
qwen3.7-max,0.95,0.95,2026-05-19,Alibaba,China,,,0.027351527573538932,,,2026-06-13T02:07:22.000Z,JAGjUTQLxqjo8GVFYL7AYf
kimi-k2.7-code,0.9638888888888889,0.9638888888888889,2026-06-12,Moonshot,China,,,0.021254167083334153,,,2026-06-13T00:45:42.000Z,V33KddsiVHndruDm5teJZj
claude-fable-5_max,0.9972222222222222,0.9972222222222222,2026-06-09,Anthropic,United States of America,,,0.002777777777777778,,,2026-06-10T20:03:17.000Z,eiLEpRUvK48wUKDh4sYkzV
claude-opus-4-8_max,0.9833333333333333,0.9833333333333333,2026-05-28,Anthropic,United States of America,,,0.014101901870444154,,,2026-06-07T23:44:54.000Z,37pJqPpXTE6ia9ikmmGPJ4
gemini-3.5-flash_high,0.9555555555555556,0.9555555555555556,2026-05-19,Google,United States of America,,,0.026696111689702044,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FeYmgjYJfM7Utm46nfoRfZ6.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/eYmgjYJfM7Utm46nfoRfZ6.eval,2026-05-25T13:10:18.000Z,eYmgjYJfM7Utm46nfoRfZ6
qwen3.6-max-preview,0.9111111111111111,0.9111111111111111,2026-04-20,Alibaba,China,,,0.03739932239193622,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FjCibaxnieGfNVCsKeYxsJs.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/jCibaxnieGfNVCsKeYxsJs.eval,2026-05-15T19:17:16.000Z,jCibaxnieGfNVCsKeYxsJs
qwen3.5-plus,0.85,0.85,2026-02-16,Alibaba,China,,,0.048591265790377494,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F4CKgKHozmKFZptTz5hzCxZ.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/4CKgKHozmKFZptTz5hzCxZ.eval,2026-05-14T05:11:00.000Z,4CKgKHozmKFZptTz5hzCxZ
qwen3.6-plus,0.9055555555555556,0.9055555555555556,2026-03-31,Alibaba,China,,,0.03666054433123132,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FaD8yU2R4B5JorEQYYxjRjc.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/aD8yU2R4B5JorEQYYxjRjc.eval,2026-05-12T14:05:06.000Z,aD8yU2R4B5JorEQYYxjRjc
qwen3.6-flash,0.8611111111111112,0.8611111111111112,2026-04-27,Alibaba,China,,,0.04737793696791343,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FnBf7MrteHA7qCv9NHV5Qvs.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/nBf7MrteHA7qCv9NHV5Qvs.eval,2026-05-12T09:53:29.000Z,nBf7MrteHA7qCv9NHV5Qvs
qwen3.5-flash,0.8555555555555555,0.8555555555555555,2026-02-25,Alibaba,China,,,0.045980403770130136,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FHGLReDZkCUHfhof7ajtkth.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/HGLReDZkCUHfhof7ajtkth.eval,2026-05-11T16:35:56.000Z,HGLReDZkCUHfhof7ajtkth
glm-5.1,0.9222222222222223,0.9222222222222223,2026-04-07,Z.ai (Zhipu AI),China,,,0.035375173753206986,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FZQ7dfBhZ4yZBUjpL5zq38W.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/ZQ7dfBhZ4yZBUjpL5zq38W.eval,2026-05-07T15:19:32.000Z,ZQ7dfBhZ4yZBUjpL5zq38W
kimi-k2.6,0.9611111111111111,0.9611111111111111,2026-04-20,Moonshot,China,,,0.023777636174410793,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FBTeRdhgt6TFBj6QkGX2j6P.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/BTeRdhgt6TFBj6QkGX2j6P.eval,2026-05-02T09:08:49.000Z,BTeRdhgt6TFBj6QkGX2j6P
