Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
claude-opus-4-8_max,0.4724137931034483,0.4724137931034483,2026-05-28,Anthropic,United States of America,,,0.029366965952163048,,,2026-06-08T00:20:40.000Z,6dUEQ3YfeMZzSm9ytgiuDi
qwen3.6-max-preview,0.23103448275862068,0.23103448275862068,2026-04-20,Alibaba,China,,,0.02479378972186167,,,2026-05-27T22:28:21.000Z,T6yJ47dEheZTjRVDS6Bgzt
gemini-3.5-flash_high,0.3896551724137931,0.3896551724137931,2026-05-19,Google,United States of America,,,0.028686590614000477,,,2026-05-22T16:42:34.000Z,Ectc9Fcn4xSKZFQwj9Xn7R
qwen3.5-plus,0.2103448275862069,0.2103448275862069,2026-02-16,Alibaba,China,,,0.02397373715108675,,,2026-05-14T12:48:49.000Z,Kbc5vW47MpsnYaqeBuoJoQ
qwen3.6-plus,0.2620689655172414,0.2620689655172414,2026-03-31,Alibaba,China,,,0.025868232968648857,,,2026-05-12T16:08:00.000Z,Vxki26PKxMtCWsahLMmBHB
qwen3.6-flash,0.10344827586206896,0.10344827586206896,2026-04-27,Alibaba,China,,,0.01791432224407271,,,2026-05-12T15:03:26.000Z,n4BkffZyi6KAx8HajDU4ZK
qwen3.5-flash,0.06206896551724138,0.06206896551724138,2026-02-25,Alibaba,China,,,0.014192986356621421,,,2026-05-12T12:27:22.000Z,VHC8c6kTi5zjkHU67QSkZW
glm-5.1,0.33448275862068966,0.33448275862068966,2026-04-07,Z.ai (Zhipu AI),China,,,0.027753489933368777,,,2026-05-11T13:39:21.000Z,4DNcqcs4R97ZWNTMDrXSZN
kimi-k2.6,0.3896551724137931,0.3896551724137931,2026-04-20,Moonshot,China,,,0.028686590614000477,,,2026-05-07T21:21:29.000Z,4StdTsQNqgsKc8RFdauiF2
gpt-5.5-pro-pre-release_xhigh,0.51,0.51,2026-04-23,OpenAI,United States of America,,,0.029,,,2026-04-23T20:51:52.501Z,gpt-5-5-pro-pre-release-xhigh-t13
gpt-5.5-pro-pre-release_high,0.524,0.524,2026-04-23,OpenAI,United States of America,,,0.029,,,2026-04-23T20:51:39.890Z,gpt-5-5-pro-pre-release-high-t13
gpt-5.5-pre-release_xhigh,0.517,0.517,2026-04-23,OpenAI,United States of America,,,0.029,,,2026-04-23T20:51:32.704Z,gpt-5-5-pre-release-xhigh-t13
claude-opus-4-7_xhigh,0.4379310344827586,0.4379310344827586,2026-04-16,Anthropic,United States of America,,,0.02918426387376174,,,2026-04-17T11:24:50.000Z,VFJMk4X6U8Yx5FwtQh4jbk
gpt-5.4-mini-2026-03-17_high,0.2828,0.2828,2026-03-17,OpenAI,United States of America,,,0.02065,,,2026-04-15T13:54:39.000Z,7oFhmdG6DwLVLAenx8Wu4z
gpt-5.4-nano-2026-03-17_high,0.2586,0.2586,2026-03-17,OpenAI,United States of America,,,0.0258,,,2026-04-15T09:11:20.668Z,SZpkpKjZLWJvmXWPQsMpbv
muse-spark,0.39,0.39,2026-04-08,Meta AI,United States of America,,,0.029,,,2026-04-08T16:30:10.530Z,muse-spark-pre-release-tiers-1-3
gpt-5.4-2026-03-05_xhigh,0.476,0.476,2026-03-05,OpenAI,United States of America,,,0.029,,,2026-03-06T03:53:08.691Z,pre-release-gpt-5-4-xhigh-fm-t13
gpt-5.4-pro-2026-03-05_xhigh,0.5,0.5,2026-03-05,OpenAI,United States of America,,,0.029,,,2026-03-06T03:47:23.261Z,pre-release-gpt-5-4-pro-fm-t13
claude-sonnet-4-6_16K,0.324,0.324,2026-02-17,Anthropic,United States of America,,,0.028121636040639858,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/ewFjUhQhYidjkErDdLvcQL.eval,2026-02-20T14:53:58.744Z,ewFjUhQhYidjkErDdLvcQL
