Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Notes,id
gpt-5.6-sol_max,0.925,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Max),,recIQjZYogw8GYgLW
gpt-5.6-sol_xhigh,0.9,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (xHigh),,recjEDHJMdFvdEoxY
gpt-5.6-sol_high,0.8542000000000001,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (High),,recLS6d8WS2n1rGSY
gpt-5.5_xhigh,0.85,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xHigh),,recPMkvFz7bdsGYig
gemini-3-deep-think-preview,0.8458,2026-02-12,,,,,Gemini 3 Deep Think (2/26),,recMlHyQpZ45OKxQ0
gpt-5.5-pro_high,0.8458,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (High),,recE8W46kbiuOPGxo
gpt-5.5-pro_xhigh,0.8416,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (xHigh),,recgSWEl9GTw04NMC
gpt-5.6-terra_max,0.839,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Max),,rec6orAgSUYUy5B5x
gpt-5.4-pro-2026-03-05_xhigh,0.8333,2026-03-05,OpenAI,United States of America,,,GPT-5.4 Pro (xHigh),,recQTn93SRyeXe4j7
gpt-5.5_high,0.8333,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (High),,reclzZXNkcRC5jiKS
gemini-3.1-pro-preview,0.771,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro (Preview,,recqiypjdc93Zi185
gemini-3.1-pro-preview,0.7708,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro (Preview),,recbE2tiH9D8MeBaF
claude-opus-4-7_max,0.758,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (Max),,reckzAUlEOn9DIazK
gpt-5.6-terra_xhigh,0.7417,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (xHigh),,rec86VcvrMgRUOXNK
gpt-5.4-2026-03-05_xhigh,0.7395,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (xHigh),,receOCJkifwiw4KJD
gemini-3.5-flash_high,0.7208,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash (High),,recTdKZ1IRjGsKQDv
claude-opus-4-8_high,0.7208,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (High),,recyZR7wTddhJC0iQ
claude-opus-4-8_medium,0.7167,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Medium),,recmL22XFCsheVQDp
gpt-5.5_medium,0.7042,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Medium),,recdw1w2Kk0j96ky7
claude-opus-4-6_120K,0.6917,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, High)",,recudCqZO2yzH6CbV
claude-opus-4-6_120K,0.6875,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Max)",,recZU5GRhR5s7GfZQ
claude-opus-4-7_high,0.683,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (High),,recPv91tJnBXcqcnw
gpt-5.4-2026-03-05_high,0.675,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (High),,recSSPRQPLhYElikJ
claude-opus-4-7_medium,0.675,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Medium),,recCucGVHjJSEdw24
gpt-5.6-sol_medium,0.6708,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Medium),,rec8lDUeLifBHj8WC
gpt-5.6-terra_high,0.6708,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (High),,recxzIevuyQumJson
claude-opus-4-6_120K,0.6625,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Medium)",,recsGnPYUYFhuwrgg
grok-4-20,0.6514,2026-02-17,xAI,United States of America,,,Grok 4.20 (Reasoning),,rec0q8XRFqTb9j85f
claude-opus-4-6_120K,0.6458,2026-02-05,Anthropic,United States of America,,,"Claude Opus 4.6 (120K, Low)",,rec0H4L8zJfLACTG4
claude-opus-4-8_low,0.6222,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (Low),,recs1YmhMRL5aoCXZ
claude-opus-4-7_low,0.6208,2026-04-16,Anthropic,United States of America,,,Claude 4.7 (Low),,recyXuHnrwdkJwc9k
claude-sonnet-4-6_high,0.6042,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (High),,recIlUapCqVFHs6qj
gpt-5.6-luna_max,0.5954,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (Max),,rec0Or1yRuToQETpO
claude-sonnet-4-6_max,0.5833,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (Max),,reco6ICSvrm675Zqs
gpt-5.4-2026-03-05_medium,0.5542,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Medium),,recMec1xlzVYbvboI
gpt-5.2-pro-2025-12-11_high,0.5416,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (High),,recC6V59wjvT4mX12
gpt-5.2-2025-12-11_xhigh,0.5291,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (X-High),,recS9jrqUC4LBQDMg
gpt-5.6-luna_xhigh,0.4764,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (xHigh),,recUz4W8immjSHPf0
gemini-3-deep-think-preview,0.4514,2026-02-12,,,,,Gemini 3 Deep Think (Preview) ²,,recQNM7laEXnYaZlu
gpt-5.2-2025-12-11_high,0.4333,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (High),,recZgpSoatzOtn3rb
gpt-5.6-sol_low,0.425,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Low),,recYYBTJBos18GflF
gpt-5.2-pro-2025-12-11_medium,0.3847,2025-12-11,OpenAI,United States of America,,,GPT-5.2 Pro (Medium),,recNfd2GOThl8JJsR
claude-opus-4-5-20251101_64K,0.3764,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 64K)",,recv5sJsLP2dDw5bN
gpt-5.6-terra_medium,0.375,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Medium),,recxR9NtkO4IkDlEG
gemini-3-flash-preview,0.3361,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (High),,recatuxrQ5J2dsdHg
gpt-5.5_low,0.3333,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (Low),,recIDNd1cnFpANX8V
gemini-3-pro-preview,0.3111,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,Gemini 3 Pro,,recpfIvjpQ9j5qjkw
gpt-5.6-luna_high,0.2931,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna (High),,recPiIGgsFkyUNMRY
gpt-5.4-2026-03-05_low,0.2917,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (Low),,recKYmHa8qFLZepys
gpt-5.2-2025-12-11_medium,0.2667,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Medium),,recC0T6EG6UZ9vBNr
claude-opus-4-5-20251101_16K,0.2278,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 16K)",,rec75TsP1Xy1ROEez
glm-5.2_unknown,0.22775000000000004,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2,,recMTvejGGEdgJHsM
gpt-5.4-mini-2026-03-17_xhigh,0.189,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (xHigh),,recTo7b6iwUks0bgH
gpt-5.6-terra_low,0.1875,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Low),,recBmdT4RIrE6PjQC
gpt-5-pro-2025-10-06_unknown,0.1833,2025-10-07,OpenAI,United States of America,,,GPT-5 Pro,,recEX7lSg0Egk0RAh
gpt-5.1-2025-11-13_high,0.1764,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
","GPT-5.1 (Thinking, High)",,rec0q3XOoL5ig2rmC
grok-4-0709,0.15975,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",Grok 4 (Thinking),,recejdgNxM9Ez5aMB
claude-opus-4-5-20251101_8K,0.1389,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,"Opus 4.5 (Thinking, 8K)",,recz5urlvGWID1WRk
claude-sonnet-4-5-20250929_32K,0.1361,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5 (Thinking 32K),,recBx0qeevdxXEZ8W
gpt-5.4-mini-2026-03-17_high,0.1319,2026-03-17,OpenAI,United States of America,,,GPT-5.4 Mini (High),,rec9Usyz2ygQJzgfc
gemini-3-flash-preview,0.1278,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash Preview (Medium),,recbLiiMWEmhWHfWb
kimi-k2.5,0.11810000000000001,2026-01-27,Moonshot,China,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",Kimi K2.5,,rec04h17vuGSX2tFu
gpt-5-2025-08-07_high,0.0986,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",GPT-5 (High),,rec4cuWugsakV5GLa
gpt-5.2-2025-12-11_low,0.0972,2025-12-11,OpenAI,United States of America,,,GPT-5.2 (Low),,recCKI1LVFbETuKYX
gemini-3.5-flash_minimal,0.0889,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash (Minimal),,recADvSyiT3Ze8RTf
claude-opus-4-20250514_16K,0.0861,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4 (Thinking 16K),,recPD5WSzdGAFCyf4
