Model version,Global average,Release date,Organization,Country,Training compute (FLOP),Training compute notes,UUID,Reasoning average,Coding average,Mathematics average,Data analysis average,Language average,IF Average,LiveBench Version,Source,Source link,Notes,id
gemini-2.5-pro-exp-03-25,82.35,2025-03-25,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,recdqASZ0IuC0YxYB,89.75,85.87,90.2,79.89,67.82,80.59,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,gemini-2.5-pro-exp-03-25
claude-3-7-sonnet-20250219,76.1,2025-02-24,Anthropic,United States of America,3.35e+25,https://docs.google.com/spreadsheets/d/10bhwdVrfHI8tysVIz62ZxtvQ30L-HojYvmU18_b-WIM/edit?gid=0#gid=0,rectCQvqMspIuMUQL,87.83,74.54,79.0,74.05,59.93,81.25,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,Assumed baseline 3.7 Sonnet,claude-3-7-sonnet-thinking
o3-mini-2025-01-31_high,75.88,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",recMpw98si8R0RbEZ,89.58,82.74,77.29,70.64,50.68,84.36,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,o3-mini-2025-01-31-high
o1-2024-12-17_high,75.67,2024-12-17,OpenAI,United States of America,,,rec9whDdTVTSY7LHB,91.58,69.69,80.32,65.47,65.39,81.55,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,o1-2024-12-17-high
QwQ-32B,71.96,2025-03-05,Alibaba,China,3.51e+24,"Assuming the same dataset size as for Qwen2.5 training (18T tokens):

6ND = 6 * 32500000000 parameters * 18 * 10^12 tokens =  3.51 × 10^24

'Speculative' confidence",recExmZmqW7YXYwL6,83.5,72.23,77.82,65.03,51.35,81.83,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,qwq-32b
DeepSeek-R1,71.57,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",recmEkG6ZjErNSgmY,83.17,66.74,80.71,69.78,48.53,80.51,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,deepseek-r1
o3-mini-2025-01-31_medium,70.01,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",recBLQVNF1SQxcRs5,86.33,65.38,72.37,66.56,46.26,83.16,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,o3-mini-2025-01-31-medium
gpt-4.5-preview-2025-02-27,68.95,2025-02-27,OpenAI,United States of America,3.8e+26,"Analysis of GPT-4.5's training cluster yields a median estimate of 187M H100-hours of training. The utilization assumptions we used for the Grok 3 estimate (maybe worth revisiting) were 20 to 40% under the H100 FP8 spec of 2000 teraflop/s. This leads to an estimate of 2.7e26 to 5.4e26 FLOP, or a geomean of 3.8e26

Alternatively, using a plausible range of 20 to 50% utilization, given the possibility of FP8 training, yields a median estimate of ~2e25 FLOP. See notebook below for details.

https://colab.research.google.com/drive/1QBmVPm64Ti0xucN0EsZTgSz_I7Mj9hAZ#scrollTo=NYH1ABJuLJlw 

This is consistent with OpenAI's statement that GPT-4.5 was a “new order of magnitude in compute” compared to previous models (e.g. GPT-4, which was ~2e25), suggesting around 2e26 FLOP. But they could have meant this somewhat loosely. 

In the ""Pretraining GPT-4.5"" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 ",rech09NDATGEoh1cL,71.08,75.18,69.33,64.33,61.45,72.33,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,gpt-4.5-preview
gemini-2.0-flash-thinking-exp-01-21,66.92,2025-01-21,"Google DeepMind,Google",United States of America,,,recEi3b1zYk3uBZrB,78.17,53.49,75.85,69.37,42.18,82.47,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,gemini-2.0-flash-thinking-exp-01-21
DeepSeek-V3-0324,66.86,2025-03-24,DeepSeek,China,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",recBZZKQIAKSN6I99,65.83,70.9,73.52,60.37,49.07,81.47,LiveBench-2024-11-25,LiveBench Leaderboard,https://livebench.ai/#/,,deepseek-v3-0324
