Model version,Performance,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost,Notes,Total tokens (K),Input tokens (K),Output tokens (K),Rank,id
claude-fable-5_high,2041.3,2026-06-09,Anthropic,United States of America,,,claude-fable-5-high,2.108822,,45.507,4.1632,41.3438,120.92,recOJYPyImXeBu5y6
gpt-5.5_xhigh,1942.97,2026-04-23,OpenAI,United States of America,,,gpt-5.5-xhigh,1.517132,,54.0908,3.9703,50.1206,174.53,recvu236lk6eJfew6
gpt-5.3-codex_xhigh,1655.22,2026-02-05,OpenAI,United States of America,,,gpt-5.3-codex-xhigh,0.559265,,49.2862,10.4666,38.8195,260.93,recjPl07t1MvmNgDm
gpt-5.4-2026-03-05_high,1607.0,2026-03-05,OpenAI,United States of America,,,gpt-5.4-high,0.612174,,45.4606,5.2245,40.2361,290.27,recJ9Hqsyml44GqRp
gpt-5.5_medium,1589.38,2026-04-23,OpenAI,United States of America,,,gpt-5.5-medium,0.328965,,13.7061,2.98,10.7261,277.35,rec8dhBUXYFTQ1qEi
claude-opus-4-8_high,1563.83,2026-05-28,Anthropic,United States of America,,,claude-4.8-opus-high,0.963945,,41.8884,4.1632,37.7251,297.35,rec9PMFOTHSfxdEBy
gpt-5.4-2026-03-05_medium,1520.72,2026-03-05,OpenAI,United States of America,,,gpt-5.4-medium,0.26258,,23.9929,7.3261,16.6669,321.07,rec6y7fVydiA2X9U9
claude-opus-4-8_none,1411.83,2026-05-28,Anthropic,United States of America,,,claude-4.8-opus-no-thinking,0.421746,,20.2004,4.1632,16.0372,365.7,recw5YfULeyAfAYgR
gemini-3-flash-preview,1367.2,2025-12-17,Google DeepMind,United States of America,,,gemini-3-flash-preview-high,0.091067,,33.2479,3.2603,29.9876,388.55,recfMGg7Kvqpid4qZ
claude-sonnet-4-6_medium,1327.3,2026-02-17,Anthropic,United States of America,,,claude-4.6-sonnet-medium,1.770753,,162.211,55.201,107.01,421.05,rec79auRfHPVtkKyP
claude-opus-4-7,1323.05,2026-04-16,Anthropic,United States of America,,,claude-4.7-opus-no-thinking,0.224549,,12.3165,4.1682,8.1483,397.45,recy14NQpCEvMvUAx
gpt-5.2-codex,1299.9,2025-12-18,OpenAI,United States of America,,,gpt-5.2-codex-xhigh,0.587753,,46.1338,4.4343,41.6995,406.95,rec76peITUi0G9hWI
