Model version,Tools,ACW Avg Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,ACW Country %,ACW Median Score,ACW Median Distance (km),ACW Refusal,AVW Country %,AVW Avg Score,AVW Median Score,AVW Median Distance (km),AVW Refusal,Rural Country %,Rural Avg Score,Rural Median Score,Rural Median Distance,Rural Refusal,Urban Country %,Urban Avg Score,Urban Median Score,Urban Median Distance (km),Urban Refusal,Photos Country %,Photos Avg Score,Photos Median Score,Photos Median Distance (km),Photos Refusal,Notes,Source,Source link,id
gemini-3-flash-preview,None,4333,2025-12-17,Google DeepMind,United States of America,,,0.88,4671,126,0.0,,,,,,,,,,,,,,,,,,,,,,GeoBench leaderboard,,rec4g5alUjBYlfrX0
gemini-3-pro-preview,None,4145,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.84,4628,144,0.0,,,,,,,,,,,,,,,,0.74,3893.0,4364.0,203.0,0.0,,GeoBench leaderboard,https://geobench.org/,recwbNbVo3KioFg1v
gemini-2.5-pro-preview-05-06,None,4085,2025-05-06,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.86,4581,162,0.0,,,,,,,,,,,,,,,,0.7,3836.0,4435.0,187.0,0.0,,GeoBench leaderboard,https://geobench.org/,recVj2Vj168vkJXaT
gemini-2.5-pro-exp-03-25,Search,4019,2025-03-25,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.81,4472,207,0.0,,,,,,,,,,,,,,,,,,,,,,GeoBench leaderboard,https://geobench.org/,recKwlVhpDLw3jftZ
gemini-2.5-pro-preview-05-06,Search,3983,2025-05-06,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.81,4466,209,0.0,,,,,,,,,,,,,,,,,,,,,,GeoBench leaderboard,https://geobench.org/,recEx1qcKpzEhL29G
gpt-5-2025-08-07_medium,None,3937,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.81,4458,217,0.0,,,,,,,,,,,,,,,,0.58,3498.0,4082.0,288.0,0.0,,GeoBench leaderboard,https://geobench.org/,recFgJeRfhlSbQeu9
gemini-1.5-flash-002,None,3934,2024-09-24,Google DeepMind,United States of America,,"""Gemini 1.5 Flash is a dense Transformer based model that is online distilled [...] from Gemini 1.5 Pro.""",0.76,4376,248,0.0,,,,,,,,,,,,,,,,0.64,3458.0,4179.0,258.0,0.0,Assuming latest Flash version,GeoBench leaderboard,https://geobench.org/,recZO3tP9x1pQsytO
o3-2025-04-16_high,None,3930,2025-04-16,OpenAI,United States of America,,,0.6,4433,235,0.18,,,,,,,,,,,,,,,,0.56,3789.0,4194.0,244.0,0.1,,GeoBench leaderboard,https://geobench.org/,recMNCiUt6YNqVDKL
o1-2024-12-17_medium,None,3925,2024-12-17,OpenAI,United States of America,,,0.8,4252,337,0.0,,,,,,,,,,,,,,,,0.52,3330.0,4061.0,313.0,0.0,Assuming medium reasoning effort.,GeoBench leaderboard,https://geobench.org/,recu2g66G4TcuHV94
gemini-2.0-flash-001,None,3897,2025-02-05,"Google DeepMind,Google",United States of America,,"""We used Trillium TPUs to train the new Gemini 2.0, Google’s most capable AI model yet"" according to https://cloud.google.com/blog/products/compute/trillium-tpu-is-ga",0.77,4328,268,0.0,0.68,3743.0,4281.0,315.0,0.0,0.58,3426.0,3750.0,443.0,0.0,0.94,3898.0,4229.0,245.0,0.0,0.6,3659.0,4073.0,284.0,0.0,,GeoBench leaderboard,https://geobench.org/,rec7kPZI1YDSo2DgB
