Model version,Arena Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Score 95% CI,Votes,Last updated,Source,Source link (site from table),Notes,95% CI High,95% CI Low,id
claude-opus-5_max,1690.64,2026-07-24,Anthropic,United States of America,,,,8116,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1699.35,1681.93,recNUvyfQc6Bik8Uv
kimi-k3_max,1673.7,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",,4546,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1684.95,1662.44,recDg44iIUtAe2RhI
qwen3.8-max_unknown,1668.94,2026-08-02,Alibaba,China,,,,3212,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1681.44,1656.44,recTdVm2qqlGWHUKV
claude-opus-5_high,1662.59,2026-07-24,Anthropic,United States of America,,,,8659,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1670.67,1654.52,recbSCzHPr3UAWM3V
grok-4.6_high,1628.84,2026-08-12,xAI,United States of America,,,,1523,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1645.97,1611.71,recD2YH5MiuyOD1HA
claude-fable-5_unknown,1626.26,2026-06-09,Anthropic,United States of America,,,,8382,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1634.46,1618.06,recSi4QzdnavF3cTZ
gpt-5.6-sol_xhigh,1618.71,2026-07-09,OpenAI,United States of America,,,,9499,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1626.4,1611.03,recG5CUO9e2GOfiiz
glm-5.3_max,1598.6,2026-08-14,Z.ai (Zhipu AI),China,,,,1916,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1613.73,1583.47,recGUmCEUF1DKCZhV
qwen3.8-27b,1594.78,2026-08-14,Alibaba,China,,,,2464,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1607.86,1581.7,rec67p0NIVtVh8Fw2
glm-5.2_max,1593.25,2026-06-16,Z.ai (Zhipu AI),China,,,,1994,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1607.98,1578.51,recluUH4AYBO78ZCx
gemini-3.7-flash_high,1587.04,2026-08-13,Google DeepMind,United States of America,,,,2552,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1600.18,1573.91,recu8zmVvQ8mmZVig
deepseek-v4-pro-0813_high,1581.64,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,,2869,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1593.75,1569.53,rec65iBl9WzLAM7JB
deepseek-v4-flash-0731_high,1579.1,2026-07-31,DeepSeek,China,2.496e+24,"From https://api-docs.deepseek.com/updates/: ""DeepSeek-V4-Flash-0731 keeps the same model architecture and size as DeepSeek-V4-Flash-Preview, and was only re-post-trained.""

6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training",,3537,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1590.07,1568.13,recsLYLBxCXjXMVIU
claude-opus-4-7_unknown,1566.85,2026-04-16,Anthropic,United States of America,,,,5270,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1576.37,1557.33,recokJu1lFXavDpwj
claude-opus-4-8_high,1563.49,2026-05-28,Anthropic,United States of America,,,,11699,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1570.61,1556.37,recixLxQOXu4FgGzS
claude-opus-4-7,1557.52,2026-04-16,Anthropic,United States of America,,,,14527,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1563.75,1551.29,rec1WC4J4E7jHLpxy
claude-opus-4-7_high,1556.7,2026-04-16,Anthropic,United States of America,,,,15099,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1562.92,1550.47,recMCbMMbkma3QX9K
grok-4.5_unknown,1556.36,2026-07-08,xAI,United States of America,,,,6325,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1564.79,1547.93,rec0CzO93QZUWjPJ1
claude-opus-4-6_unknown,1556.29,2026-02-05,Anthropic,United States of America,,,,2553,,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,1570.13,1542.44,rec42aGstj0e6Rset
claude-opus-4-8_unknown,1552.22,2026-05-28,Anthropic,United States of America,,,,1578,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1568.57,1535.88,recOyBSiqPlt4m1jX
claude-opus-4-6_high,1545.68,2026-02-05,Anthropic,United States of America,,,,17015,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1551.46,1539.9,recmfqfRYiNWDU56a
claude-opus-4-8_none,1539.1,2026-05-28,Anthropic,United States of America,,,,10638,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1546.1,1532.1,rec8wkAhd66Iij2V5
muse-spark-1.1,1539.02,2026-07-09,Meta AI,United States of America,,,,6204,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1547.51,1530.53,rec7oAaI9pcEcm0Bz
