Model version,Challenge score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Easy score,Shots,Source,Source link,Notes,id
Yi-6B,0.503,2023-11-02,01.AI,China,1.26e+23,6*7*10^9*3*10^12 = 1.26e+23,Yi 6b,,25-shot,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recBDxFxuSKRTNMCm
Yi-9B,0.556,2024-03-01,,,,,Yi 9b,,25-shot,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recqf9Jh0xFM1IXnC
PaLM 540B,0.601,2022-04-04,Google Research,United States of America,2.5272e+24,"See Table 20.

6144 TPUv4 for 1200 hours + 3072 TPUv4 for 336 hours.
Equivalent to 6144 TPUv4 for 1368 hours.

46.2% model FLOPs utilization

""The 540B-parameter PaLM model sustained a remarkable 57.8% of the peak hardware floating point performance over 50 days while training on TPU v4 supercomputers."" https://cloud.google.com/blog/topics/systems/tpu-v4-enables-performance-energy-and-co2e-efficiency-gains",PaLM,,2-shot,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recbeIMXP2c5ukqiJ
PaLM 2-S,0.596,2023-05-17,,,,,PaLM 2-S,,2-shot,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recekhdpsUQa4s2Hm
PaLM 2-M,0.649,2023-05-17,,,,,PaLM 2-M,,2-shot,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recuxZiJTrnM847mA
PaLM 2-L,0.692,2023-05-17,,,,,PaLM 2-L,,2-shot,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recWEx4BOQTar2SBJ
falcon-180B,0.678,2023-09-06,Technology Innovation Institute,United Arab Emirates,3.76e+24,"43,500 petaflop-days per Table 1 of the paper

43500 * 1e15 * 24 * 3600 = 3.76e24


C = 6ND = 6 FLOP/token/parameter * 3.5 trillion tokens * 180 billion parameters = 3.78*10^24 FLOP",Falcon 180B,,2-shot,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recyedY0eMSNaxyzQ
text-davinci-001,0.514,2022-01-27,OpenAI,United States of America,3.19181e+23,"""training our 175B PPO-ptx model requires 60 petaflops/s-days, compared to 3,640 petaflops/s-days for GPT-3 (Brown et al., 2020)""

60/3640 = +1.65% to base model compute

base model was reported 3.14e+23 FLOP

3.14e+23 * 1.0165 = 319181000000000000000000",GPT-3,0.688,,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recon4Hh3kTsbzIUH
PaLM 540B,0.53,2022-04-04,Google Research,United States of America,2.5272e+24,"See Table 20.

6144 TPUv4 for 1200 hours + 3072 TPUv4 for 336 hours.
Equivalent to 6144 TPUv4 for 1368 hours.

46.2% model FLOPs utilization

""The 540B-parameter PaLM model sustained a remarkable 57.8% of the peak hardware floating point performance over 50 days while training on TPU v4 supercomputers."" https://cloud.google.com/blog/topics/systems/tpu-v4-enables-performance-energy-and-co2e-efficiency-gains",PaLM,0.766,,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recPA0ga3kjdYrNvX
Llama-2-7b,0.459,2023-07-18,Meta AI,United States of America,8.4e+22,"Trained on 2 trillion tokens per Table 1. 

C = 6ND = 6 FLOP / token / parameter * 7B parameters * 2T tokens = 8.4e+22 FLOP.

Also, 7B model was trained on 184320 GPU-hours

312 trillion * 184320 GPU-hours * 3600 sec/hour * 0.3 [utilization] = 6.21e22 FLOP",LLaMA-2 7B,0.752,,The Falcon Series of Open Language Models,http://arxiv.org/abs/2311.16867,,recMgIDIjScfAKlAK
