Model version,Accuracy,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Cost per run,Median code length (lines),Notes,Source,Source link,Accuracy SE,id
gpt-5.6-sol_high,0.8876000000000001,2026-07-09,OpenAI,United States of America,,,1.25479875,567.0,,https://htihle.github.io/weirdml.html,,3.23705550671775e-05,recDXSQrmsktQrxr3
claude-fable-5_high,0.8785,2026-06-09,Anthropic,United States of America,,,3.1068966666666666,156.0,,WeirdML Leaderboard,,8.026931867056432e-05,recm1YL5ROE3e3a8v
gpt-5.5_xhigh,0.8491,2026-04-23,OpenAI,United States of America,,,2.568345317647059,517.0,,https://htihle.github.io/weirdml.html,,0.0001091535447188698,recNJLmrITg65HnLP
gpt-5.5_high,0.8390000000000001,2026-04-23,OpenAI,United States of America,,,2.221576529411765,474.0,,https://htihle.github.io/weirdml.html,,0.00010857064112429189,rece9m5QDHJk0kphX
claude-opus-4-8_xhigh,0.8289,2026-05-28,Anthropic,United States of America,,,2.3498122772277226,129.0,,https://htihle.github.io/weirdml.html,,9.958824837467327e-05,recIQsIEKMmBYxvWF
gpt-5.3-codex,0.793,2026-02-05,OpenAI,United States of America,,,2.35,558.0,,WeirdML Leaderboard,,,recQoGmOgTINEyg46
gpt-5.3-codex_xhigh,0.793,2026-02-05,OpenAI,United States of America,,,2.353800286764706,558.0,,WeirdML Leaderboard,,0.00016396022084974617,recSL5zN2vlWKsInd
claude-opus-4-6_high,0.7795000000000001,2026-02-05,Anthropic,United States of America,,,5.779370588235294,169.0,,https://htihle.github.io/weirdml.html,,0.00023465628049314672,recAZOaIZoeMECTb2
claude-opus-4-6_unknown,0.779,2026-02-05,Anthropic,United States of America,,,5.78,169.0,Adaptive thinking,WeirdML Leaderboard,,,recSlHl7gDvgN7Iv6
gpt-5.4-2026-03-05_xhigh,0.777,2026-03-05,OpenAI,United States of America,,,5.7199,968.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recxpHhBx0NDfrFVq
claude-opus-4-7,0.7640000000000001,2026-04-16,Anthropic,United States of America,,,0.6895180000000002,158.0,,https://htihle.github.io/weirdml.html,,0.00017246892139005817,recuoBayQAlGA5M8a
claude-opus-4-7_unknown,0.764,2026-04-16,Anthropic,United States of America,,,0.6895,158.0,,WeirdML Leaderboard,,,recIyMQSWffJ5JAmX
claude-opus-4-7_high,0.764,2026-04-16,Anthropic,United States of America,,,1.82,147.0,,WeirdML Leaderboard,,,recIku5vHDX9VoDi9
claude-opus-4-8_medium,0.7604000000000001,2026-05-28,Anthropic,United States of America,,,0.8472938235294117,103.0,,https://htihle.github.io/weirdml.html,,0.0001646215855604908,reciU71sdJ0Xc773s
claude-opus-4-7_max,0.7545000000000001,2026-04-16,Anthropic,United States of America,,,7.952621764705882,174.0,,https://htihle.github.io/weirdml.html,,0.0002512541407541041,recExT6mKHp0IGQ4Q
gpt-5.2-2025-12-11_xhigh,0.722,2025-12-11,OpenAI,United States of America,,,2.05,394.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recBg3iB5UB07x2hT
gemini-3.1-pro-preview,0.721,2026-02-19,Google DeepMind,United States of America,,,1.36,394.0,,WeirdML Leaderboard,,,recGmSE5Oa6sPNY3I
claude-opus-4-8_none,0.7045,2026-05-28,Anthropic,United States of America,,,0.4752000990099009,102.0,,https://htihle.github.io/weirdml.html,,0.00013620999100200573,rectzf70zaXWJLj63
glm-5.2_max,0.7012,2026-06-16,Z.ai (Zhipu AI),China,,,0.5072874972,200.0,,https://htihle.github.io/weirdml.html,,0.00016924669523230864,recSQFD35vSn14YQh
gemini-3-pro-preview,0.6993,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.5257711077,230.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recMwExVNzQFOuRPy
claude-sonnet-5_high,0.6878000000000001,2026-06-30,Anthropic,United States of America,,,0.895463294117647,233.0,,https://htihle.github.io/weirdml.html,,0.00017696329549524788,recwWCD4jlF5lW7rt
glm-5.2_high,0.6731,2026-06-16,Z.ai (Zhipu AI),China,,,0.28333104480874316,178.0,,https://htihle.github.io/weirdml.html,,0.00014915387714757675,reccjeovOo5ppZ5Fh
gpt-5.5_none,0.6715000000000001,2026-04-23,OpenAI,United States of America,,,0.5389514705882353,202.0,,https://htihle.github.io/weirdml.html,,0.00017253756008593507,recB9k0CpkaxiR6xD
claude-sonnet-4-6_medium,0.6607,2026-02-17,Anthropic,United States of America,,,2.8593499285714286,178.0,,WeirdML Leaderboard,,0.0002980618554382716,recKgAUWa5eUZxXQM
claude-opus-4-6,0.659,2026-02-05,Anthropic,United States of America,,,0.736,245.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recffS4JAWtKqn3Ku
claude-opus-4-5-20251101_16K,0.637,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.738,173.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,reci9ur1kRcoJsSdF
gpt-5.2-2025-12-11_medium,0.634,2025-12-11,OpenAI,United States of America,,,0.416,290.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recpsACaI9bWFMg53
gemini-3.5-flash_high,0.6264000000000001,2026-05-19,Google,United States of America,,,0.7560409661764705,285.5,,https://htihle.github.io/weirdml.html,,0.00024091415851094065,recrIPcpOeEj60VKj
gemini-3-flash-preview,0.616,2025-12-17,Google DeepMind,United States of America,,,0.222,149.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recORWiDWDuE6ne5i
gpt-5.1-2025-11-13_high,0.6077,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.6913346832,311.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,reci36t9Q8We2ARmf
gpt-5-2025-08-07_high,0.607,2025-08-07,OpenAI,United States of America,6.6e+25,"Likely around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.5931804044,328.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,rec4qZr44BtF62vqq
gpt-5-pro-2025-10-06_high,0.6039,2025-10-07,OpenAI,United States of America,,,7.647644118,369.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recX2OmQjv53BIY3l
gpt-5.4-mini-2026-03-17_high,0.603,2026-03-17,OpenAI,United States of America,,,1.2910174676470587,503.0,,https://htihle.github.io/weirdml.html,,0.0001686737161666318,recX7Ablwb2UkN5s3
o3-pro-2025-06-10_high,0.5821,2025-06-10,OpenAI,United States of America,,,2.540382703,148.0,,WeirdML Leaderboard,https://htihle.github.io/weirdml.html,,recrKJicVBBBp5oLq
